ipc4,naics07_6,probability_weight
"A01B","115112",1
"A01C","115112",1
"A01D","111421",.0279306
"A01D","115112",.0989226
"A01D","115113",.1136165
"A01D","115114",.2649569
"A01D","236117",.1285554
"A01D","311311",.1334601
"A01D","311312",.136456
"A01D","311313",.0632448
"A01D","339994",.0328571
"A01F","115113",.3040331
"A01F","115114",.6650549
"A01F","236117",.0309119
"A01G","111411",.067621
"A01G","111421",.1751027
"A01G","111422",.3038998
"A01G","113110",.1353078
"A01G","115112",.1375203
"A01G","115310",.0455935
"A01G","236117",.028821
"A01G","321212",.0568221
"A01G","325320",.0493119
"A01H","311222",.9569203
"A01H","339914",.0430797
"A01J","311511",.5619007
"A01J","311513",.4380992
"A01K","112390",.0007506
"A01K","112511",.0201273
"A01K","112519",.1224179
"A01K","114111",.7149377
"A01K","114112",.0555738
"A01K","311119",.0187328
"A01K","311615",.0674599
"A01L","325211",.0686252
"A01L","325520",.0512377
"A01L","325998",.0470566
"A01L","339995",.8330805
"A01M","114210",.8105832
"A01M","325320",.1894168
"A01N","325320",1
"A01P","325320",.9784179
"A01P","325411",.0215821
"A21B","311811",.3547813
"A21B","311812",.3547813
"A21B","311813",.1112312
"A21B","311822",.0926347
"A21B","311830",.0218952
"A21B","333294",.0646762
"A21C","311811",.0842349
"A21C","311812",.0842349
"A21C","311813",.0302808
"A21C","311822",.7186154
"A21C","311823",.0534635
"A21C","333294",.0291705
"A21D","111140",.0718405
"A21D","311811",.0906241
"A21D","311812",.0906241
"A21D","311822",.6534002
"A21D","311920",.093511
"A22B","311611",.6483636
"A22B","311612",.2641657
"A22B","311615",.0874707
"A22C","114111",.1077356
"A22C","114112",.0619289
"A22C","311612",.7325013
"A22C","311615",.0978343
"A23B","114111",.1250118
"A23B","115114",.0339571
"A23B","311411",.0399451
"A23B","311412",.038834
"A23B","311421",.0486546
"A23B","311422",.100729
"A23B","311423",.0429352
"A23B","311612",.3279078
"A23B","311615",.0286619
"A23B","311711",.0256282
"A23B","311712",.112202
"A23B","311942",.0680679
"A23B","311991",.0074652
"A23C","112120",.166707
"A23C","311222",.0245973
"A23C","311511",.4116474
"A23C","311512",.0253056
"A23C","311513",.2861228
"A23C","311514",.0856199
"A23D","111120",.0502622
"A23D","111992",.0196977
"A23D","311222",.0348383
"A23D","311223",.2169647
"A23D","311225",.4986531
"A23D","311330",.0351771
"A23D","311512",.1444069
"A23F","111199",.1003366
"A23F","111310",.0330957
"A23F","311423",.0676511
"A23F","311920",.7634008
"A23F","312111",.0355157
"A23G","111211",.0408504
"A23G","112120",.0740493
"A23G","311320",.0143784
"A23G","311330",.2826055
"A23G","311340",.1259357
"A23G","311512",.0905114
"A23G","311514",.1184277
"A23G","311520",.2532415
"A23J","111110",.111227
"A23J","112120",.0416561
"A23J","114111",.048141
"A23J","311222",.2772041
"A23J","311423",.0916661
"A23J","311511",.168818
"A23J","311513",.0346659
"A23J","311514",.0319402
"A23J","311612",.1230651
"A23J","311712",.0382864
"A23J","311822",.0333301
"A23K","111110",.0917195
"A23K","111120",.1088531
"A23K","111150",.0641761
"A23K","111191",.1501467
"A23K","112340",.0011096
"A23K","114111",.0758534
"A23K","311111",.0245554
"A23K","311222",.0794588
"A23K","311223",.1198365
"A23K","311612",.1174704
"A23K","311615",.0980562
"A23K","311712",.0687643
"A23L","111130",.0315429
"A23L","111140",.0356714
"A23L","111219",.0719613
"A23L","111334",.0000416
"A23L","111419",.035194
"A23L","114111",.0389718
"A23L","311422",.1113562
"A23L","311423",.0675862
"A23L","311512",.0353031
"A23L","311612",.1650865
"A23L","311615",.0411612
"A23L","311712",.0359311
"A23L","311813",.0433582
"A23L","311822",.0869349
"A23L","311942",.1998996
"A23N","311920",.1802812
"A23N","311942",.0769653
"A23N","333111",.0292035
"A23N","333294",.1907501
"A23N","333612",.0294963
"A23N","333922",.4387468
"A23N","339994",.0545569
"A23P","111160",.0257595
"A23P","311423",.0372016
"A23P","311612",.0708788
"A23P","311813",.0837452
"A23P","311822",.2025367
"A23P","311830",.0256149
"A23P","311919",.0817619
"A23P","333294",.4320085
"A23P","333922",.0404928
"A24B","111339",.0243833
"A24B","111910",.3271172
"A24B","312210",.028695
"A24B","312229",.6198044
"A24C","312210",.0394873
"A24C","312221",.7407872
"A24C","312229",.1143596
"A24C","333298",.1053659
"A24D","312221",.922744
"A24D","312229",.077256
"A24F","312210",.0837683
"A24F","312221",.8918532
"A24F","312229",.0243786
"A41B","315119",.0436978
"A41B","315221",.6190888
"A41B","315223",.0338003
"A41B","315224",.1589221
"A41B","315291",.0171803
"A41B","315299",.0877327
"A41B","315999",.0395779
"A41C","313249",.0675452
"A41C","315192",.0094117
"A41C","315231",.1042031
"A41C","315232",.0322277
"A41C","315233",.1080887
"A41C","315234",.0834972
"A41C","315299",.5717553
"A41C","325998",.0232711
"A41D","315234",.031536
"A41D","315239",.0009287
"A41D","315299",.4137814
"A41D","315992",.5475031
"A41D","315993",.0062507
"A41F","315231",.0228953
"A41F","315299",.7779077
"A41F","315992",.0273144
"A41F","339993",.1718826
"A41G","315991",.0273035
"A41G","325520",.3975765
"A41G","325998",.4135047
"A41G","326199",.0806013
"A41G","339993",.0285333
"A41G","339999",.0524806
"A41H","315233",.0900512
"A41H","315299",.8315657
"A41H","339993",.0783831
"A42B","315991",1
"A42C","315991",1
"A43B","316211",.4888171
"A43B","316212",.3052137
"A43B","316213",.0126938
"A43B","316214",.069201
"A43B","316219",.1240744
"A43C","316211",.4513535
"A43C","316214",.1934291
"A43C","316219",.3094147
"A43C","339993",.0458027
"A43D","316211",.6708103
"A43D","316214",.0283622
"A43D","316219",.1868219
"A43D","326291",.0277803
"A43D","333220",.0219656
"A43D","333518",.028141
"A43D","333912",.0066354
"A43D","333922",.0294832
"A44B","315299",.0361074
"A44B","339993",.9638926
"A44C","316993",.0263201
"A44C","332323",.3688102
"A44C","339911",.537945
"A44C","339913",.03972
"A44C","339993",.0272047
"A45B","339999",1
"A45C","316991",.3537401
"A45C","316992",.3432889
"A45C","316993",.302971
"A45D","236117",.0816187
"A45D","325612",.3141924
"A45D","326199",.037385
"A45D","332510",.0249324
"A45D","339993",.0439277
"A45D","339994",.4401134
"A45D","339999",.0578306
"A45F","315299",.0261042
"A45F","316991",.0700533
"A45F","316992",.1176208
"A45F","316993",.4672414
"A45F","326111",.2048579
"A45F","326199",.0462498
"A45F","339993",.0432458
"A45F","339999",.0246268
"A46B","339994",1
"A46D","339994",1
"A47B","337122",.1426217
"A47B","337125",.1297359
"A47B","337129",.0176293
"A47B","337211",.0168053
