ipc4,naics07_3,probability_weight
"A01B","115",1
"A01C","115",1
"A01D","111",.0386561
"A01D","115",.5538661
"A01D","236",.3220973
"A01D","311",.0435359
"A01D","339",.0418446
"A01F","111",.1067749
"A01F","115",.6119874
"A01F","236",.2332491
"A01F","311",.0479887
"A01G","111",.2041633
"A01G","113",.2762964
"A01G","115",.3232685
"A01G","236",.0579361
"A01G","321",.1011731
"A01G","325",.0371626
"A01H","111",.0309348
"A01H","114",.0528063
"A01H","311",.8646228
"A01H","321",.0262648
"A01H","339",.0253713
"A01J","112",.0255354
"A01J","311",.9744646
"A01K","112",.06509
"A01K","114",.9000456
"A01K","311",.0348643
"A01L","325",.8500483
"A01L","339",.1499517
"A01M","114",.8362841
"A01M","236",.0219323
"A01M","325",.1417836
"A01N","111",.0728683
"A01N","114",.0227248
"A01N","311",.0539979
"A01N","321",.0243015
"A01N","325",.8261074
"A01P","111",.1834909
"A01P","311",.04526
"A01P","325",.7712491
"A21B","311",.9590846
"A21B","333",.0409154
"A21C","311",.9638886
"A21C","333",.0361114
"A21D","111",.105093
"A21D","311",.894907
"A22B","114",.095216
"A22B","311",.8375121
"A22B","333",.0672719
"A22C","114",.4869226
"A22C","311",.5130774
"A23B","111",.0496238
"A23B","114",.2284142
"A23B","311",.721962
"A23C","112",.3924525
"A23C","311",.6075475
"A23D","111",.1832851
"A23D","112",.0296505
"A23D","114",.0217391
"A23D","311",.7653252
"A23F","111",.3223569
"A23F","311",.6124672
"A23F","312",.0651759
"A23G","111",.0351714
"A23G","112",.213699
"A23G","311",.7511296
"A23J","111",.0563104
"A23J","112",.0502416
"A23J","114",.0881148
"A23J","311",.8053333
"A23K","111",.3389248
"A23K","112",.0303228
"A23K","114",.1630402
"A23K","311",.4677121
"A23L","111",.1802841
"A23L","114",.0457794
"A23L","311",.7739365
"A23N","111",.0647285
"A23N","311",.3469626
"A23N","333",.5547506
"A23N","339",.0335583
"A23P","111",.0572379
"A23P","114",.0405344
"A23P","311",.8368748
"A23P","333",.065353
"A24B","111",.2653366
"A24B","312",.7346634
"A24C","312",.9742104
"A24C","322",.0257896
"A24D","312",.9458236
"A24D","322",.0541764
"A24F","312",1
"A41B","313",.0462706
"A41B","315",.9537294
"A41C","313",.0682165
"A41C","315",.8179716
"A41C","325",.0898658
"A41C","326",.0239461
"A41D","315",1
"A41F","315",.8298624
"A41F","339",.1701376
"A41G","325",.8329031
"A41G","326",.1038536
"A41G","339",.0632433
"A41H","315",.8866776
"A41H","325",.0237057
"A41H","339",.0896166
"A42B","315",1
"A42C","315",1
"A43B","316",1
"A43C","316",.8693533
"A43C","326",.0212272
"A43C","339",.1094195
"A43D","316",.7910571
"A43D","326",.0674182
"A43D","332",.0305863
"A43D","333",.1109383
"A44B","315",.0472394
"A44B","339",.9527606
"A44C","316",.1103856
"A44C","326",.0258776
"A44C","332",.0341742
"A44C","339",.8295626
"A45B","339",1
"A45C","316",.9785274
"A45C","339",.0214727
"A45D","236",.1750381
"A45D","325",.1643182
"A45D","326",.081831
"A45D","332",.0628206
"A45D","333",.0411418
"A45D","339",.4748502
"A45F","315",.0295374
"A45F","316",.7168291
"A45F","326",.0970428
"A45F","332",.0232287
"A45F","337",.0547548
"A45F","339",.0786072
"A46B","339",1
"A46D","326",.0245069
"A46D","339",.9754932
"A47B","337",1
"A47C","337",1
"A47D","337",1
"A47F","337",1
"A47G","315",.0751699
"A47G","322",.078609
"A47G","325",.058957
"A47G","326",.0920771
"A47G","332",.4531409
"A47G","337",.1675943
"A47G","339",.0744519
"A47H","236",.0994457
"A47H","313",.0677369
"A47H","321",.0408583
"A47H","325",.0772341
"A47H","326",.1834879
"A47H","332",.0653322
"A47H","333",.067149
"A47H","334",.2035594
"A47H","337",.0823416
"A47H","339",.1128549
"A47J","236",.0648288
"A47J","332",.7200551
"A47J","333",.095078
"A47J","334",.0598195
"A47J","337",.0241311
"A47J","339",.0360876
"A47K","236",.0317275
"A47K","322",.638153
"A47K","325",.1197726
"A47K","326",.0523312
"A47K","337",.1195217
"A47K","339",.038494
"A47L","236",.0805068
"A47L","325",.0239057
"A47L","333",.0361355
"A47L","337",.0212655
"A47L","339",.8381866
"A61B","325",.0267979
"A61B","326",.0366851
"A61B","332",.0846226
"A61B","333",.0969483
"A61B","334",.1804738
"A61B","339",.5744723
"A61C","339",1
"A61D","112",.0331592
"A61D","114",.030101
"A61D","311",.1877908
"A61D","325",.034142
