ipc4,naics07_2,probability_weight
"A01B","11",1
"A01C","11",1
"A01D","11",.3540846
"A01D","23",.5935544
"A01D","31",.0523611
"A01F","11",.5048339
"A01F","23",.4365472
"A01F","31",.0586189
"A01G","11",.8607576
"A01G","23",.1015642
"A01G","32",.0376781
"A01H","11",.1369086
"A01H","31",.8630914
"A01J","31",1
"A01K","11",.9219407
"A01K","23",.0250628
"A01K","31",.0529965
"A01L","32",.9585841
"A01L","33",.0414159
"A01M","11",.8279477
"A01M","23",.0502442
"A01M","32",.121808
"A01N","11",.2200964
"A01N","31",.0780364
"A01N","32",.7018672
"A01P","11",.3318502
"A01P","31",.0607604
"A01P","32",.6073895
"A21B","31",.9737696
"A21B","33",.0262304
"A21C","31",.9789747
"A21C","33",.0210253
"A21D","11",.0698166
"A21D","31",.9301834
"A22B","11",.0534914
"A22B","31",.9021548
"A22B","33",.0443538
"A22C","11",.3314089
"A22C","31",.6685911
"A23B","11",.2952088
"A23B","31",.7047912
"A23C","11",.1514009
"A23C","31",.8485991
"A23D","11",.2490422
"A23D","31",.7509578
"A23F","11",.2288284
"A23F","31",.7711716
"A23G","11",.1280258
"A23G","31",.8719742
"A23J","11",.21374
"A23J","31",.7862601
"A23K","11",.5724221
"A23K","31",.4275779
"A23L","11",.2434326
"A23L","31",.7565674
"A23N","11",.1192417
"A23N","23",.0347891
"A23N","31",.416313
"A23N","33",.4296562
"A23P","11",.1265297
"A23P","31",.8363652
"A23P","33",.0371051
"A24B","11",.4101362
"A24B","31",.5898638
"A24C","31",.9267351
"A24C","32",.0398721
"A24C","33",.0333928
"A24D","31",.9366173
"A24D","32",.0633828
"A24F","31",1
"A41B","31",.8809592
"A41B","32",.0959992
"A41B","33",.0230415
"A41C","31",.5508071
"A41C","32",.4224607
"A41C","33",.0267322
"A41D","31",.9565952
"A41D","32",.0434048
"A41F","31",.6926735
"A41F","32",.0824064
"A41F","33",.2249201
"A41G","32",.9505767
"A41G","33",.0494233
"A41H","31",.5563498
"A41H","32",.1267968
"A41H","33",.3168534
"A42B","31",1
"A42C","31",.8953522
"A42C","32",.0794492
"A42C","33",.0251986
"A43B","31",.8986627
"A43B","32",.069439
"A43B","33",.0318983
"A43C","23",.0526313
"A43C","31",.6614195
"A43C","32",.0802531
"A43C","33",.2056962
"A43D","31",.3110541
"A43D","32",.1754747
"A43D","33",.5134713
"A44B","23",.0624783
"A44B","31",.0761934
"A44B","32",.0609733
"A44B","33",.800355
"A44C","23",.1080361
"A44C","31",.0619333
"A44C","32",.0984233
"A44C","33",.7316073
"A45B","33",1
"A45C","31",.7810965
"A45C","32",.0405603
"A45C","33",.1783432
"A45D","23",.282688
"A45D","32",.2874001
"A45D","33",.429912
"A45F","23",.0400176
"A45F","31",.3486181
"A45F","32",.2573539
"A45F","33",.3540104
"A46B","23",.0270182
"A46B","32",.0346872
"A46B","33",.9382946
"A46D","32",.1002809
"A46D","33",.8997191
"A47B","23",.0270643
"A47B","32",.0340336
"A47B","33",.9389021
"A47C","33",1
"A47D","31",.0233207
"A47D","33",.9766793
"A47F","23",.0771879
"A47F","32",.0988191
"A47F","33",.823993
"A47G","23",.0392634
"A47G","31",.0296836
"A47G","32",.4550345
"A47G","33",.4760185
"A47H","23",.1328398
"A47H","32",.3019003
"A47H","33",.56526
"A47J","23",.1257482
"A47J","32",.05779
"A47J","33",.8164618
"A47K","23",.0591839
"A47K","32",.8089151
"A47K","33",.131901
"A47L","23",.2246616
"A47L","32",.1258313
"A47L","33",.6495071
"A61B","32",.0797896
"A61B","33",.9202104
"A61C","32",.1129416
"A61C","33",.8870584
"A61D","11",.046495
"A61D","31",.2748727
"A61D","32",.175666
"A61D","33",.5029663
"A61F","31",.0669733
"A61F","32",.699412
"A61F","33",.2336147
"A61G","32",.1723372
"A61G","33",.8276628
"A61H","31",.04189
"A61H","32",.1260462
"A61H","33",.8320639
"A61J","31",.3855591
"A61J","32",.2890916
"A61J","33",.3253493
"A61K","11",.0711208
"A61K","31",.7004828
"A61K","32",.2065564
"A61K","33",.02184
"A61L","31",.053042
"A61L","32",.594888
"A61L","33",.35207
"A61M","32",.2056464
"A61M","33",.7943537
"A61N","32",.1514919
"A61N","33",.8485081
"A61P","11",.0812879
"A61P","31",.8569677
"A61P","32",.0617443
"A61Q","11",.0483869
"A61Q","31",.6064844
"A61Q","32",.3154429
"A61Q","33",.0296857
"A62B","23",.1508553
"A62B","31",.3693365
"A62B","32",.0649691
"A62B","33",.4148391
"A62C","23",.1137614
"A62C","32",.0708701
"A62C","33",.8153685
"A62D","32",.8979796
"A62D","33",.1020204
"A63B","23",.0612518
"A63B","31",.0478132
"A63B","32",.0712876
"A63B","33",.8196473
"A63C","23",.1086498
"A63C","31",.0767685
"A63C","32",.0937431
"A63C","33",.7208387
"A63D","23",.15843
"A63D","32",.3100377
"A63D","33",.5315323
"A63F","23",.1017918
"A63F","33",.8982081
"A63G","23",.079281
"A63G","32",.0622095
"A63G","33",.8585095
"A63H","23",.0493999
"A63H","32",.0352941
"A63H","33",.915306
"A63J","23",.1721879
"A63J","32",.0407672
"A63J","33",.7870449
"A63K","23",.0202334
"A63K","32",.5648082
"A63K","33",.4149584
"B01B","23",.2433878
"B01B","31",.0787294
"B01B","32",.0448604
"B01B","33",.6330223
"B01D","22",.1234225
"B01D","23",.3443107
"B01D","31",.0446676
"B01D","32",.2265755
"B01D","33",.2610238
"B01F","23",.1885746
"B01F","31",.0706785
"B01F","32",.3353324
"B01F","33",.4054145
"B01J","11",.0246129
"B01J","23",.0374314
"B01J","31",.0286356
