ipc4,naics07_1,probability_weight
"A01B","1",1
"A01C","1",1
"A01D","1",.3808327
"A01D","2",.5979981
"A01D","3",.0211692
"A01F","1",.554076
"A01F","2",.445924
"A01G","1",.8613687
"A01G","2",.1129922
"A01G","3",.0256391
"A01H","1",.6037645
"A01H","3",.3962354
"A01J","1",.0569904
"A01J","2",.1234083
"A01J","3",.8196013
"A01K","1",.9738455
"A01K","2",.0261545
"A01L","3",1
"A01M","1",.9091535
"A01M","2",.0527638
"A01M","3",.0380826
"A01N","1",.5623122
"A01N","3",.4376877
"A01P","1",.6982077
"A01P","3",.3017923
"A21B","3",1
"A21C","3",1
"A21D","1",.5605574
"A21D","3",.4394426
"A22B","1",.2308574
"A22B","2",.037104
"A22B","3",.7320386
"A22C","1",.7925766
"A22C","3",.2074235
"A23B","1",.8223105
"A23B","3",.1776895
"A23C","1",.7159544
"A23C","3",.2840456
"A23D","1",.8228747
"A23D","3",.1771252
"A23F","1",.7845062
"A23F","3",.2154938
"A23G","1",.6690628
"A23G","3",.3309373
"A23J","1",.793566
"A23J","3",.206434
"A23K","1",.9533843
"A23K","3",.0466157
"A23L","1",.8307753
"A23L","3",.1692247
"A23N","1",.1670691
"A23N","2",.0489208
"A23N","3",.7840101
"A23P","1",.4466319
"A23P","3",.553368
"A24B","1",.8863892
"A24B","3",.1136108
"A24C","3",1
"A24D","1",.0291116
"A24D","3",.9708884
"A24F","2",.0443556
"A24F","3",.9556444
"A41B","3",1
"A41C","3",1
"A41D","3",1
"A41F","3",1
"A41G","3",1
"A41H","3",1
"A42B","3",1
"A42C","3",1
"A43B","3",1
"A43C","2",.0889653
"A43C","3",.9110346
"A43D","3",1
"A44B","2",.059457
"A44B","3",.940543
"A44C","2",.1014277
"A44C","3",.8985723
"A45B","3",1
"A45C","2",.0291114
"A45C","3",.9708886
"A45D","2",.2826819
"A45D","3",.7173181
"A45F","2",.0465581
"A45F","3",.9534419
"A46B","2",.0274388
"A46B","3",.9725612
"A46D","3",1
"A47B","2",.0277447
"A47B","3",.9722553
"A47C","3",1
"A47D","3",1
"A47F","2",.0739503
"A47F","3",.9260497
"A47G","2",.0409241
"A47G","3",.9590759
"A47H","2",.1302002
"A47H","3",.8697998
"A47J","2",.125927
"A47J","3",.874073
"A47K","2",.1026226
"A47K","3",.8973774
"A47L","2",.2126541
"A47L","3",.7873459
"A61B","3",1
"A61C","3",1
"A61D","1",.0520497
"A61D","3",.9479503
"A61F","3",1
"A61G","3",1
"A61H","3",1
"A61J","3",1
"A61K","1",.213177
"A61K","3",.786823
"A61L","3",1
"A61M","3",1
"A61N","3",1
"A61P","1",.3550688
"A61P","3",.6449312
"A61Q","1",.1323096
"A61Q","3",.8676904
"A62B","2",.1796313
"A62B","3",.8203688
"A62C","2",.1294537
"A62C","3",.8705463
"A62D","3",1
"A63B","2",.0579096
"A63B","3",.9420904
"A63C","2",.1021434
"A63C","3",.8978566
"A63D","2",.159169
"A63D","3",.8408309
"A63F","2",.1061384
"A63F","3",.8938615
"A63G","2",.0771565
"A63G","3",.9228435
"A63H","2",.0503646
"A63H","3",.9496354
"A63J","2",.166101
"A63J","3",.833899
"A63K","2",.0228216
"A63K","3",.9771785
"B01B","2",.2537576
"B01B","3",.7462424
"B01D","2",.4757079
"B01D","3",.5242921
"B01F","2",.2077997
"B01F","3",.7922003
"B01J","1",.0349071
"B01J","2",.0682121
"B01J","3",.8968809
"B01L","2",.1577523
"B01L","3",.8422477
"B02B","1",.3572572
"B02B","2",.1045622
"B02B","3",.5381806
"B02C","2",.4317778
"B02C","3",.5682222
"B03B","2",.2205677
"B03B","3",.7794324
"B03C","2",.2327285
"B03C","3",.7672715
"B03D","2",.1174642
"B03D","3",.8825358
"B04B","2",.2298096
"B04B","3",.7701904
"B04C","2",.7806831
"B04C","3",.2193169
"B05B","2",.2563346
"B05B","3",.7436654
"B05C","2",.0282793
"B05C","3",.9717207
"B05D","3",1
"B06B","2",.2547224
"B06B","3",.7452775
"B07B","1",.0344693
"B07B","2",.1286958
"B07B","3",.836835
"B07C","3",1
"B08B","2",.1587092
"B08B","3",.8412908
