ipc4,sitc_rev4_1,probability_weight
"A01B","7",1
"A01C","0",.04684
"A01C","2",.0768148
"A01C","7",.8763452
"A01D","0",.1153217
"A01D","2",.1446865
"A01D","7",.7399918
"A01F","0",.244328
"A01F","2",.2488711
"A01F","7",.5068008
"A01G","0",.2558227
"A01G","2",.5495101
"A01G","5",.0271844
"A01G","7",.1674829
"A01H","0",.0392932
"A01H","2",.9607068
"A01J","0",.9446675
"A01J","2",.030913
"A01J","7",.0244195
"A01K","0",.2646352
"A01K","2",.0358788
"A01K","4",.5578178
"A01K","7",.0209698
"A01K","8",.1206984
"A01L","2",1
"A01M","0",.0605403
"A01M","2",.1013092
"A01M","4",.0374135
"A01M","7",.7774711
"A01M","8",.0232659
"A01N","0",.1546967
"A01N","2",.0915615
"A01N","4",.0600705
"A01N","5",.6936713
"A01P","0",.3237734
"A01P","2",.1375845
"A01P","4",.0315046
"A01P","5",.5071376
"A21B","0",.9613954
"A21B","7",.0386046
"A21C","0",.9546449
"A21C","7",.0453551
"A21D","0",1
"A22B","0",.0864285
"A22B","2",.1011901
"A22B","6",.4921615
"A22B","7",.3202198
"A22C","0",.7198746
"A22C","2",.1150071
"A22C","6",.1079307
"A22C","7",.0571877
"A23B","0",.9468573
"A23B","4",.0531426
"A23C","0",.9255092
"A23C","2",.0744909
"A23D","0",.1477931
"A23D","2",.0406512
"A23D","4",.8115557
"A23F","0",1
"A23G","0",.9410666
"A23G","2",.0589334
"A23J","0",.6217939
"A23J","2",.1415057
"A23J","4",.1855197
"A23J","5",.0511807
"A23K","0",.6967567
"A23K","2",.1255258
"A23K","4",.1331175
"A23K","5",.0446
"A23L","0",.9739873
"A23L","4",.0260127
"A23N","0",.5933783
"A23N","2",.3323839
"A23N","7",.0742378
"A23P","0",.9278674
"A23P","2",.0292348
"A23P","4",.0428978
"A24B","0",.0852501
"A24B","1",.9147498
"A24C","1",.9619481
"A24C","6",.038052
"A24D","1",.9426872
"A24D","6",.0573128
"A24F","1",1
"A41B","2",.1503818
"A41B","6",.0951653
"A41B","8",.7544529
"A41C","2",.0452144
"A41C","6",.0367755
"A41C","8",.9180102
"A41D","2",.080909
"A41D","5",.0296597
"A41D","6",.0645016
"A41D","8",.8249297
"A41F","2",.0374336
"A41F","5",.049465
"A41F","6",.068938
"A41F","8",.8441634
"A41G","2",.084836
"A41G","5",.173813
"A41G","6",.0276128
"A41G","8",.7137381
"A41H","2",.03486
"A41H","5",.0569332
"A41H","6",.0957749
"A41H","7",.4378733
"A41H","8",.3745587
"A42B","8",1
"A42C","2",.0648835
"A42C","5",.0651497
"A42C","6",.088966
"A42C","7",.0253122
"A42C","8",.7556887
"A43B","2",.1608883
"A43B","5",.2641574
"A43B","6",.0636748
"A43B","8",.5112796
"A43C","5",.1228347
"A43C","6",.0321032
"A43C","8",.8450621
"A43D","5",.1622912
"A43D","7",.7137699
"A43D","8",.1239389
"A44B","5",.0458259
"A44B","6",.1424681
"A44B","7",.0516432
"A44B","8",.7600628
"A44C","5",.0298284
"A44C","6",.2722845
"A44C","7",.0245649
"A44C","8",.1099609
"A44C","9",.5633612
"A45B","8",1
"A45C","6",.0549932
"A45C","8",.9450068
"A45D","2",.0206112
"A45D","5",.3699021
"A45D","6",.0754668
"A45D","7",.038843
"A45D","8",.4951769
"A45F","5",.0848268
"A45F","6",.1852977
"A45F","8",.7298755
"A46B","2",.4200223
"A46B","5",.4412811
"A46B","6",.1063574
"A46B","8",.0323391
"A46D","2",.5424838
"A46D","5",.2600731
"A46D","6",.197443
"A47B","1",.1344002
"A47B","6",.2084831
"A47B","7",.077613
"A47B","8",.5795037
"A47C","6",.0303019
"A47C","8",.9696981
"A47D","6",.0249703
"A47D","7",.0208679
"A47D","8",.9541619
"A47F","1",.2437268
"A47F","5",.0449786
"A47F","6",.4634422
"A47F","7",.0910828
"A47F","8",.1567696
"A47G","0",.0667252
"A47G","1",.1032018
"A47G","2",.08948
