ipc4,sitc_rev4_45,probability_weight
"A01B","721.1",.4154191
"A01B","721.11",.2364903
"A01B","721.13",.2564924
"A01B","721.19",.0915981
"A01C","721.1",.386302
"A01C","721.12",.4782885
"A01C","721.19",.1354095
"A01D","721.2",.690595
"A01D","721.21",.1473828
"A01D","721.29",.1620223
"A01F","048.13",.0093128
"A01F","292.39",.0004904
"A01F","721.2",.745519
"A01F","721.22",.0116269
"A01F","721.23",.0116269
"A01F","721.29",.2214238
"A01G","036.31",.006484
"A01G","054.58",.0581458
"A01G","056.13",.0286167
"A01G","057.71",.0014917
"A01G","246.2",.0709469
"A01G","277.23",.0036345
"A01G","278.69",.0126716
"A01G","278.98",.0448678
"A01G","292.31",.0439408
"A01G","292.42",.0152697
"A01G","292.52",.0026603
"A01G","292.53",.0026603
"A01G","292.61",.0065873
"A01G","292.69",.0904104
"A01G","292.7",.0474467
"A01G","292.71",.0488396
"A01G","292.72",.2196759
"A01G","292.97",.0304223
"A01G","522.25",.0003832
"A01G","721.1",.1250637
"A01G","721.12",.1397808
"A01H","062.1",.0470485
"A01H","222.2",.2466658
"A01H","291.15",.0369226
"A01H","292.4",.1682732
"A01H","292.49",.2429021
"A01H","292.7",.1434556
"A01H","292.71",.1116479
"A01H","896.11",.0030845
"A01J","024.2",.1355034
"A01J","024.9",.0323814
"A01J","024.91",.0323814
"A01J","024.99",.0734763
"A01J","721.3",.3501867
"A01J","721.31",.3227453
"A01J","721.39",.0533255
"A01K","001.3",.0007001
"A01K","001.39",.0007001
"A01K","001.9",.0000933
"A01K","025.2",.0444998
"A01K","025.22",.0482135
"A01K","034.11",.0402816
"A01K","422.2",.0461882
"A01K","422.3",.0418286
"A01K","721.95",.0012459
"A01K","894.7",.2611066
"A01K","894.71",.5151424
"A01L","291.1",.0357739
"A01L","291.16",.9642261
"A01M","012.93",.0012134
"A01M","292.9",.0373372
"A01M","292.96",.039536
"A01M","524.92",.098028
"A01M","723.9",.0462154
"A01M","772.5",.039262
"A01M","772.57",.049696
"A01M","775.87",.0027553
"A01M","778.1",.2848202
"A01M","778.11",.284947
"A01M","778.17",.0539697
"A01M","778.24",.0622199
"A01N","045.99",.0197005
"A01N","081.29",.1270503
"A01N","098.12",.0019343
"A01N","098.43",.0016925
"A01N","291.94",.0135401
"A01N","292.22",.0049408
"A01N","422.5",.0340089
"A01N","511.1",.0777775
"A01N","513.9",.0809465
"A01N","513.93",.0050495
"A01N","513.96",.0564764
"A01N","515.4",.0649269
"A01N","515.42",.126565
"A01N","515.76",.0180227
"A01N","516.25",.003385
"A01N","523.31",.0618554
"A01N","523.6",.0752612
"A01N","523.63",.0605613
"A01N","523.65",.059862
"A01N","523.8",.0706973
"A01N","899.39",.0357459
"A01P","036.39",.0085043
"A01P","054.56",.0479407
"A01P","056.4",.0907349
"A01P","056.48",.0789024
"A01P","057.3",.0051506
"A01P","075.13",.0424867
"A01P","081.29",.1414331
"A01P","222.2",.1051501
"A01P","278.95",.0140218
"A01P","292.4",.1125035
"A01P","292.49",.1095713
"A01P","292.94",.0021182
"A01P","515.71",.0821044
"A01P","516.24",.0031116
"A01P","516.27",.0858721
"A01P","523.2",.0703946
"A21B","048.4",.2615087
"A21B","048.42",.028539
"A21B","048.49",.2496605
"A21B","048.5",.044266
"A21B","222.5",.0156228
"A21B","727.2",.0384394
"A21B","727.21",.0581776
"A21B","727.22",.0389397
"A21B","741.37",.2648465
"A21C","048.3",.1658053
"A21C","048.4",.1890695
"A21C","048.49",.194125
"A21C","098.9",.1343472
"A21C","098.91",.1433158
"A21C","727.2",.0697776
"A21C","727.21",.0524251
"A21C","727.22",.0511345
"A21D","041.2",.05347
"A21D","046.1",.2143713
"A21D","048.11",.0011307
"A21D","048.4",.1460405
"A21D","048.42",.1794808
"A21D","048.49",.0740966
"A21D","054.54",.05768
"A21D","056.4",.0997924
"A21D","056.41",.0025547
"A21D","056.48",.027256
"A21D","057.22",.0090922
"A21D","058.22",.0077023
"A21D","071.1",.0642309
"A21D","071.11",.0610607
"A21D","072.1",.0019119
"A21D","421.79",.0001291
"A22B","012.21",.2859417
"A22B","016.12",.0710924
"A22B","016.89",.0134795
"A22B","017.1",.0055881
"A22B","211.9",.1022323
"A22B","211.99",.1334916
"A22B","291.11",.0790176
"A22B","291.16",.0315316
"A22B","411.2",.0372615
"A22B","696.8",.1941376
"A22B","899.1",.0223675
"A22B","899.11",.0238587
"A22C","012.22",.0012857
"A22C","012.33",.0004573
"A22C","016.11",.0093626
"A22C","017.2",.8209278
"A22C","036.11",.0011808
"A22C","036.3",.0103112
"A22C","291.1",.0372372
"A22C","291.11",.090421
"A22C","291.93",.0016005
"A22C","291.95",.0004801
"A22C","696.8",.0267357
"A23B","011.12",.0002081
"A23B","011.2",.0041054
"A23B","012.12",.0013108
"A23B","012.2",.0092039
"A23B","012.3",.0111845
"A23B","012.32",.0044453
"A23B","016.1",.0246753
"A23B","016.19",.005097
"A23B","016.8",.0082174
"A23B","025.1",.0089198
"A23B","034.1",.0755889
"A23B","034.12",.0027786
"A23B","034.14",.0072318
"A23B","034.16",.0018721
"A23B","034.18",.0693259
"A23B","034.2",.0833422
"A23B","034.21",.0024208
"A23B","034.23",.0137238
"A23B","034.24",.0005548
"A23B","034.25",.0029735
"A23B","034.28",.0704276
"A23B","034.29",.0004096
"A23B","034.4",.0028202
"A23B","034.55",.024594
"A23B","035.1",.0437711
"A23B","035.11",.0007648
"A23B","035.13",.0787033
"A23B","035.2",.0399144
"A23B","035.21",.0005689
"A23B","035.22",.016572
"A23B","035.29",.0015788
"A23B","035.3",.0851731
"A23B","036.1",.0036728
"A23B","036.19",.0067802
"A23B","036.37",.0064799
"A23B","037.17",.0038094
"A23B","054.6",.0094495
"A23B","054.61",.0008192
"A23B","054.69",.0091065
"A23B","054.89",.0748066
"A23B","057.12",.0012947
"A23B","057.97",.0023285
"A23B","057.98",.0765924
"A23B","058.3",.0083549
"A23B","075.1",.0548653
"A23B","075.29",.0139848
"A23B","098.13",.0016384
"A23B","098.49",.0014954
"A23B","292.99",.0107736
"A23B","422.4",.0082653
"A23B","431.1",.0027865
"A23B","591.9",.0002185
"A23C","022.2",.0396612
"A23C","022.21",.0396612
"A23C","022.22",.0396612
"A23C","022.23",.0396612
"A23C","022.24",.0396612
"A23C","022.31",.050813
"A23C","022.32",.0087811
"A23C","022.4",.0998626
"A23C","022.41",.091418
"A23C","022.49",.0085164
"A23C","024.1",.0094369
"A23C","024.2",.2330641
"A23C","024.3",.0013306
"A23C","024.99",.1462358
"A23C","061.91",.0227448
"A23C","292.2",.1098549
"A23C","292.29",.0102942
"A23C","292.6",.0093413
"A23D","023.0",.034853
"A23D","057.75",.0014895
"A23D","091.0",.2123783
"A23D","091.01",.2123783
"A23D","222.6",.0296488
"A23D","222.61",.0297553
"A23D","223.4",.0176486
"A23D","292.3",.0346349
"A23D","421.3",.0336042
"A23D","421.41",.0050647
"A23D","421.5",.0478134
"A23D","421.51",.0137173
"A23D","421.6",.0486591
"A23D","421.61",.0159454
"A23D","421.7",.0287965
"A23D","421.8",.043511
"A23D","422.1",.0063807
"A23D","422.9",.0406062
"A23D","431.3",.0529407
"A23D","513.76",.0273865
"A23D","513.78",.0502397
"A23D","514.81",.0125481
"A23F","043.0",.0324322
"A23F","044.9",.0324322
"A23F","045.1",.0127334
"A23F","045.2",.0033657
"A23F","057.1",.0179781
"A23F","057.11",.0084592
"A23F","057.5",.004411
"A23F","057.51",.0048279
"A23F","057.52",.0026403
"A23F","057.74",.0067823
"A23F","057.92",.0130352
"A23F","057.93",.0090825
"A23F","071.1",.1256228
"A23F","071.11",.1326853
"A23F","071.3",.0441249
"A23F","071.31",.0314715
"A23F","071.32",.0119816
"A23F","074.1",.2028845
"A23F","074.11",.0594
"A23F","074.12",.0594
"A23F","074.13",.0706945
"A23F","074.14",.0706945
"A23F","074.32",.0172919
"A23F","541.4",.0084384
"A23F","541.43",.0171304
"A23G","022.3",.1674148
"A23G","022.33",.19588
"A23G","054.1",.0116014
"A23G","062.2",.0829075
"A23G","062.21",.0801926
"A23G","062.29",.0027226
"A23G","072.3",.0005552
"A23G","072.31",.0005552
"A23G","072.32",.0005552
"A23G","072.4",.0089012
"A23G","073.1",.0014638
"A23G","073.2",.1280378
"A23G","073.3",.1230276
"A23G","073.9",.0110396
"A23G","291.99",.1851454
"A23J","022.4",.1682522
"A23J","022.41",.1818767
"A23J","025.2",.0418206
"A23J","025.21",.0083971
"A23J","025.22",.041082
"A23J","025.3",.0036499
"A23J","081.13",.0020781
"A23J","222.2",.0520457
"A23J","223.7",.0999324
"A23J","292.2",.1850875
"A23J","292.5",.0035944
"A23J","292.54",.0053134
"A23J","422.2",.0393564
"A23J","592.17",.0614621
"A23J","592.21",.0795521
"A23J","592.22",.0264995
"A23K","001.1",.0004333
"A23K","001.19",.0004333
"A23K","001.4",.000361
"A23K","001.41",.000361
"A23K","001.49",.000361
"A23K","012.1",.001572
"A23K","012.11",.0029275
"A23K","012.34",.0089979
"A23K","012.4",.0002587
"A23K","025.2",.0336938
"A23K","034.1",.0559527
"A23K","034.18",.0610604
