ipc4,sitc_rev4_2,probability_weight
"A01B","72",1
"A01C","22",.0415006
"A01C","72",.9584994
"A01D","06",.0358963
"A01D","22",.1620112
"A01D","72",.8020926
"A01F","08",.0399763
"A01F","22",.2786111
"A01F","72",.6814126
"A01G","05",.0656901
"A01G","08",.0726191
"A01G","22",.0477892
"A01G","24",.0936314
"A01G","27",.0492247
"A01G","29",.3251293
"A01G","52",.0227332
"A01G","72",.323183
"A01H","06",.0442682
"A01H","22",.3878001
"A01H","29",.5679317
"A01J","02",.9539763
"A01J","29",.0210362
"A01J","72",.0249876
"A01K","00",.0122382
"A01K","02",.2535636
"A01K","03",.2175558
"A01K","29",.0239703
"A01K","42",.2566774
"A01K","89",.2359948
"A01L","29",1
"A01M","02",.026128
"A01M","29",.0962865
"A01M","72",.1589715
"A01M","77",.6626502
"A01M","89",.0559638
"A01N","05",.0220906
"A01N","06",.0312249
"A01N","08",.0552584
"A01N","22",.038333
"A01N","29",.0503905
"A01N","42",.0286671
"A01N","51",.4373209
"A01N","52",.3367146
"A01P","05",.1117528
"A01P","07",.0224822
"A01P","08",.0872745
"A01P","22",.1165742
"A01P","29",.0708468
"A01P","51",.3158763
"A01P","52",.2751932
"A21B","04",1
"A21C","04",.8266224
"A21C","09",.117483
"A21C","72",.0558946
"A21D","04",.733548
"A21D","05",.1376535
"A21D","07",.1287985
"A22B","01",.1937052
"A22B","03",.0264019
"A22B","21",.3872315
"A22B","29",.0411536
"A22B","69",.2221764
"A22B","72",.0441043
"A22B","74",.0852271
"A22C","01",.8390322
"A22C","03",.0858408
"A22C","29",.0517607
"A22C","69",.0233663
"A23B","01",.0913032
"A23B","02",.052482
"A23B","03",.3911327
"A23B","04",.0266663
"A23B","05",.3237994
"A23B","07",.0556161
"A23B","29",.0236324
"A23B","42",.0353678
"A23C","02",.9339761
"A23C","22",.0258467
"A23C","29",.0401773
"A23D","02",.0766633
"A23D","09",.0411559
"A23D","22",.1839668
"A23D","41",.1931349
"A23D","42",.3760302
"A23D","43",.0975678
"A23D","51",.031481
"A23F","04",.0207131
"A23F","05",.0535021
"A23F","07",.9257848
"A23G","02",.452877
"A23G","04",.024146
"A23G","05",.0255965
"A23G","06",.2458004
"A23G","07",.1180018
"A23G","29",.1335784
"A23J","02",.6089171
"A23J","03",.0351214
"A23J","22",.1935882
"A23J","29",.0577881
"A23J","42",.0634172
"A23J","59",.041168
"A23K","01",.0215499
"A23K","02",.0644853
"A23K","03",.1688665
"A23K","04",.0227289
"A23K","05",.0362732
"A23K","08",.2796072
"A23K","22",.2801742
"A23K","29",.0287329
"A23K","41",.038444
"A23K","42",.0269687
"A23K","54",.0321692
"A23L","01",.0593788
"A23L","02",.0317778
"A23L","03",.0523395
"A23L","04",.1259337
"A23L","05",.5476145
"A23L","07",.0931342
"A23L","09",.0673357
"A23L","42",.0224858
"A23N","05",.0966062
"A23N","07",.1063604
"A23N","08",.0212631
"A23N","22",.4722272
"A23N","29",.0868749
"A23N","72",.2166682
"A23P","01",.025561
"A23P","02",.1324675
"A23P","03",.031066
"A23P","04",.3604851
"A23P","05",.0840461
"A23P","07",.0285132
"A23P","08",.0451957
"A23P","09",.0440617
"A23P","22",.0463348
"A23P","29",.0413334
"A23P","42",.0259921
