ipc4,sitc_rev4_3,probability_weight
"A01B","721",.9549041
"A01B","723",.0450958
"A01C","721",.9755216
"A01C","723",.0244784
"A01D","222",.0315267
"A01D","721",.9468911
"A01D","723",.0215822
"A01F","222",.0587646
"A01F","721",.9412354
"A01G","054",.0250824
"A01G","081",.0538953
"A01G","222",.0344997
"A01G","246",.1141161
"A01G","292",.2893628
"A01G","721",.3703297
"A01G","723",.0797208
"A01G","724",.0329931
"A01H","062",.0375364
"A01H","222",.3666964
"A01H","292",.5957672
"A01J","022",.0424654
"A01J","024",.9195999
"A01J","721",.0379347
"A01K","001",.0044043
"A01K","025",.2496761
"A01K","034",.0628209
"A01K","036",.0272575
"A01K","422",.1095133
"A01K","894",.5463279
"A01L","291",1
"A01M","025",.0365131
"A01M","292",.0362876
"A01M","721",.0321106
"A01M","723",.0823484
"A01M","771",.0384636
"A01M","772",.0698335
"A01M","778",.6802161
"A01M","899",.0242271
"A01N","061",.0438491
"A01N","081",.0542248
"A01N","222",.0330716
"A01N","292",.0525206
"A01N","511",.0969428
"A01N","512",.0903366
"A01N","513",.1282341
"A01N","514",.0238568
"A01N","515",.075959
"A01N","516",.0572686
"A01N","522",.0634273
"A01N","523",.2803087
"A01P","056",.0533914
"A01P","057",.0338578
"A01P","075",.0388897
"A01P","081",.0807831
"A01P","222",.107625
"A01P","292",.0828117
"A01P","511",.045694
"A01P","512",.0809466
"A01P","513",.0769819
"A01P","514",.0257015
"A01P","515",.0670623
"A01P","516",.0367679
"A01P","522",.0567436
"A01P","523",.2127435
"A21B","048",.9455709
"A21B","727",.0544291
"A21C","048",.8137665
"A21C","098",.0876723
"A21C","723",.0210632
"A21C","727",.0774979
"A21D","041",.0691029
"A21D","046",.2766687
"A21D","048",.3611702
"A21D","056",.0880067
"A21D","071",.1569505
"A21D","091",.0253297
"A21D","223",.0227713
"A22B","012",.1294643
"A22B","016",.0531642
"A22B","034",.023956
"A22B","037",.0042046
"A22B","211",.3601375
"A22B","291",.0805383
"A22B","695",.121474
"A22B","696",.1403889
"A22B","744",.0574778
"A22B","748",.0291945
"A22C","016",.0252598
"A22C","017",.9092784
"A22C","291",.0654618
"A23B","012",.036823
"A23B","016",.0491224
"A23B","025",.0624944
"A23B","034",.248219
"A23B","035",.1714229
"A23B","054",.1066031
"A23B","056",.1323769
"A23B","057",.0731026
"A23B","075",.0889319
"A23B","422",.0309038
"A23C","022",.4515541
"A23C","024",.516847
"A23C","292",.0315989
"A23D","023",.0357847
"A23D","091",.4361113
"A23D","222",.0713719
"A23D","411",.0815978
"A23D","421",.2951376
"A23D","422",.0387751
"A23D","431",.0412216
"A23F","043",.0436851
"A23F","044",.0431405
"A23F","057",.0673507
"A23F","071",.4195999
"A23F","074",.4262238
"A23G","022",.3147286
"A23G","062",.1996824
"A23G","072",.0150729
"A23G","073",.4075556
"A23G","291",.0629606
"A23J","022",.3969464
"A23J","025",.1838388
"A23J","034",.0298058
"A23J","222",.1237668
"A23J","223",.0686631
"A23J","292",.0510114
"A23J","422",.0519864
"A23J","592",.0939812
"A23K","012",.0356448
"A23K","025",.0801405
"A23K","034",.1126267
"A23K","035",.0589096
"A23K","081",.2786162
"A23K","222",.2412911
"A23K","223",.0478711
"A23K","292",.0313853
"A23K","411",.0383077
"A23K","422",.0242643
"A23K","541",.0509427
"A23L","011",.0244781
"A23L","012",.0314285
"A23L","034",.0349948
"A23L","041",.0379712
"A23L","046",.0278236
"A23L","048",.0627468
"A23L","054",.1689776
"A23L","056",.3767163
"A23L","057",.0345811
"A23L","075",.1300341
"A23L","098",.0702479
"A23N","056",.024424
"A23N","057",.0743368
"A23N","071",.1055538
"A23N","075",.0285202
"A23N","222",.4396085
"A23N","291",.0622452
"A23N","292",.0291713
"A23N","723",.139073
"A23N","727",.0970672
"A23P","022",.0260747
"A23P","024",.0415396
"A23P","025",.0463159
"A23P","047",.1431205
"A23P","048",.2472586
"A23P","056",.0259548
"A23P","058",.0297819
"A23P","073",.040098
"A23P","081",.0354276
"A23P","098",.0334278
"A23P","222",.0368536
"A23P","292",.0255249
"A23P","592",.0902176
"A23P","723",.0419944
"A23P","727",.1364102
"A24B","075",.1126368
"A24B","121",.5702782
"A24B","122",.2643261
"A24B","728",.052759
"A24C","121",.0507866
"A24C","122",.8321537
"A24C","641",.0561
"A24C","728",.0609597
"A24D","122",.9108206
"A24D","641",.0891794
"A24F","122",.9609141
"A24F","899",.0390859
"A41B","263",.0270039
"A41B","655",.0270825
"A41B","845",.0244977
"A41B","846",.9214159
"A41C","845",1
"A41D","841",.1187099
"A41D","842",.0588761
"A41D","846",.6716904
"A41D","848",.1507235
"A41F","612",.0293252
"A41F","845",.9706748
"A41G","266",.0223146
"A41G","267",.0473033
"A41G","831",.1941031
"A41G","899",.7362791
"A41H","653",.0262547
"A41H","654",.0803174
"A41H","657",.0509928
"A41H","723",.0656672
"A41H","724",.369113
"A41H","845",.0530477
"A41H","846",.0659337
"A41H","899",.2886735
"A42B","848",1
"A42C","656",.0327825
"A42C","657",.0253269
"A42C","848",.9418906
"A43B","851",1
"A43C","851",1
"A43D","723",.0321011
"A43D","724",.1673347
"A43D","851",.8005642
"A44B","699",.0257732
"A44B","899",.9742268
"A44C","667",.3924058
"A44C","845",.0548059
"A44C","897",.4900559
"A44C","971",.0627324
"A45B","899",1
"A45C","831",1
"A45D","553",.6581874
"A45D","895",.0395189
"A45D","899",.3022936
"A45F","583",.0270486
"A45F","658",.1017521
"A45F","831",.7668672
"A45F","893",.0712646
"A45F","899",.0330675
"A46B","291",.5657256
"A46B","533",.2014838
"A46B","554",.1891333
"A46B","583",.0436573
"A46D","266",.1003635
"A46D","267",.0376052
"A46D","268",.1092266
"A46D","291",.4996513
"A46D","533",.1071464
"A46D","583",.0793498
"A46D","693",.0666572
"A47B","112",.0640098
"A47B","635",.0234677
"A47B","664",.031082
"A47B","735",.0548721
"A47B","821",.6961474
"A47B","895",.1304212
"A47C","821",1
"A47D","821",.8223445
"A47D","845",.1776555
"A47F","112",.0577307
"A47F","122",.09571
"A47F","583",.0939871
"A47F","658",.1011114
"A47F","659",.0999653
"A47F","664",.2648688
"A47F","672",.0269104
"A47F","735",.0595649
"A47F","741",.0577196
"A47F","821",.0637325
"A47F","831",.0377675
"A47F","846",.0409319
"A47G","112",.0300206
"A47G","263",.0343489
"A47G","292",.0365198
"A47G","658",.0879981
"A47G","659",.5317667
"A47G","696",.0992222
"A47G","821",.1493874
"A47G","846",.0307362
"A47H","658",1
"A47J","048",.0415351
"A47J","071",.6431063
"A47J","111",.1013795
"A47J","692",.0276601
