ipc4,hs2007_2,probability_weight
"A01B","31",.1199463
"A01B","82",.3843144
"A01B","84",.4957393
"A01C","12",.0226483
"A01C","31",.8190408
"A01C","82",.0241855
"A01C","84",.1341255
"A01D","12",.0686527
"A01D","82",.5072109
"A01D","84",.4241365
"A01F","12",.1603919
"A01F","23",.0316034
"A01F","82",.4734557
"A01F","84",.334549
"A01G","06",.3340439
"A01G","12",.036243
"A01G","14",.0703609
"A01G","31",.2454032
"A01G","52",.0305368
"A01G","82",.1664806
"A01G","84",.1169315
"A01H","06",.8992896
"A01H","12",.1007104
"A01J","04",.9482296
"A01J","84",.0517704
"A01K","02",.0261543
"A01K","03",.6652757
"A01K","04",.2594703
"A01K","84",.0490997
"A01L","01",.0234569
"A01L","05",.9439579
"A01L","82",.0325851
"A01M","01",.0361004
"A01M","04",.031517
"A01M","14",.0661664
"A01M","31",.0752441
"A01M","52",.1032188
"A01M","82",.1241237
"A01M","84",.5279211
"A01M","96",.0357085
"A01N","06",.0417905
"A01N","12",.0494519
"A01N","15",.0450456
"A01N","17",.033542
"A01N","23",.0504064
"A01N","28",.1746953
"A01N","29",.5402974
"A01N","31",.0647709
"A01P","12",.1595483
"A01P","15",.0284334
"A01P","23",.0786207
"A01P","24",.0374432
"A01P","28",.1790653
"A01P","29",.4154183
"A01P","31",.0770163
"A01P","52",.0244546
"A21B","19",1
"A21C","19",1
"A21D","04",.0319427
"A21D","07",.0716899
"A21D","09",.112392
"A21D","10",.0939165
"A21D","11",.3524706
"A21D","19",.3074769
"A21D","21",.0301114
"A22B","02",.2995162
"A22B","03",.0332019
"A22B","05",.0234128
"A22B","82",.6438691
"A22C","02",.1908944
"A22C","03",.1116593
"A22C","16",.6347135
"A22C","82",.0627328
"A23B","02",.1882238
"A23B","03",.4883605
"A23B","04",.0788386
"A23B","07",.1333426
"A23B","08",.0530077
"A23B","20",.0582267
"A23C","04",.9731769
"A23C","12",.0268231
"A23D","04",.098063
"A23D","12",.1155728
"A23D","15",.5851011
"A23D","18",.0297569
"A23D","23",.1715061
"A23F","08",.1044264
"A23F","09",.844396
"A23F","10",.0511776
"A23G","04",.0357063
"A23G","05",.1058699
"A23G","17",.044458
"A23G","18",.7840164
"A23G","21",.0299495
"A23J","03",.0651494
"A23J","04",.6473538
"A23J","11",.0269041
"A23J","12",.2013365
"A23J","21",.0357212
"A23J","35",.023535
"A23K","02",.1898559
"A23K","03",.2404112
"A23K","04",.0690171
"A23K","11",.0295081
"A23K","12",.2968524
"A23K","21",.0344715
"A23K","23",.0924053
"A23K","25",.0225488
"A23K","29",.0249297
"A23L","02",.1644292
"A23L","03",.0718017
"A23L","04",.0513873
"A23L","07",.2147026
"A23L","08",.0348713
"A23L","09",.0384251
"A23L","10",.0505503
"A23L","11",.0772235
"A23L","12",.0313671
"A23L","19",.0343399
"A23L","20",.2067679
"A23L","21",.0241342
"A23N","07",.0324593
"A23N","08",.0859949
"A23N","09",.0381673
"A23N","12",.2348384
"A23N","14",.0311143
"A23N","82",.5270658
"A23N","96",.05036
"A23P","02",.0411141
"A23P","03",.0502338
"A23P","04",.1436782
"A23P","07",.0295972
"A23P","11",.1744178
"A23P","12",.0778515
"A23P","16",.0245031
"A23P","18",.0951522
"A23P","19",.2496611
"A23P","23",.0506534
"A23P","82",.0631376
"A24B","24",1
"A24C","24",1
"A24D","24",1
"A24F","24",1
"A41B","52",.2679741
"A41B","54",.0320132
"A41B","55",.0602634
"A41B","59",.0810513
"A41B","60",.0444986
"A41B","61",.4603593
"A41B","62",.0538401
"A41C","52",.0530374
"A41C","59",.1895684
"A41C","60",.0321174
"A41C","62",.7252768
"A41D","42",.0466088
"A41D","52",.0446249
"A41D","54",.0278572
"A41D","55",.0401204
"A41D","59",.1006927
"A41D","61",.1663957
"A41D","62",.5737003
"A41F","42",.0380525
"A41F","59",.1120535
"A41F","61",.174891
"A41F","62",.6750031
"A41G","67",1
"A41H","59",.6297606
"A41H","61",.1757515
"A41H","62",.1711283
"A41H","67",.0233596
"A42B","65",1
"A42C","59",.0243143
"A42C","65",.9756857
"A43B","64",1
"A43C","64",1
"A43D","64",1
"A44B","54",.0551265
"A44B","55",.1038149
"A44B","59",.1852515
"A44B","60",.0350387
"A44B","62",.0248442
"A44B","83",.0304716
"A44B","96",.5654526
"A44C","62",.0423239
"A44C","71",.9356178
"A44C","91",.0220583
"A45B","66",1
"A45C","42",1
"A45D","33",.4657932
"A45D","82",.0242312
"A45D","96",.5099756
"A45F","39",.0234315
"A45F","42",.7281899
"A45F","59",.0910883
"A45F","62",.0401232
"A45F","63",.0648136
"A45F","66",.0523536
"A46B","96",1
"A46D","96",1
"A47B","22",.1290856
"A47B","39",.0402207
"A47B","44",.0320728
"A47B","70",.0573528
"A47B","72",.0409884
"A47B","73",.0783724
"A47B","94",.5500706
"A47B","96",.0718366
"A47C","59",.0272841
"A47C","94",.9727159
"A47D","59",.0588435
"A47D","94",.9411564
"A47F","22",.065668
"A47F","24",.0888461
"A47F","39",.0994732
"A47F","42",.0457426
"A47F","57",.1536374
"A47F","62",.0347955
"A47F","63",.0746603
"A47F","70",.2098705
"A47F","72",.0664301
"A47F","73",.0672063
"A47F","82",.0370912
"A47F","94",.0565788
"A47G","22",.04158
"A47G","52",.0564247
"A47G","57",.6390096
"A47G","59",.0753469
"A47G","63",.0653315
"A47G","82",.0586871
"A47G","94",.0636202
"A47H","63",1
"A47J","09",.3815615
"A47J","12",.0285759
"A47J","19",.0655957
"A47J","21",.0463937
"A47J","22",.1114429
"A47J","73",.0623457
"A47J","76",.031732
"A47J","82",.2723526
"A47K","34",.5290202
"A47K","39",.0517579
"A47K","52",.0512244
"A47K","59",.0259026
"A47K","94",.2868434
"A47K","96",.0552514
"A47L","52",.043759
"A47L","57",.254393
"A47L","59",.0457849
"A47L","96",.6560631
"A61B","05",.0454575
"A61B","82",.3110801
"A61B","90",.6434624
"A61C","33",.4781352
"A61C","35",.0293774
"A61C","69",.0295603
"A61C","82",.0228422
"A61C","90",.0976241
"A61C","96",.3424609
"A61D","01",.0617536
"A61D","04",.1579716
"A61D","05",.0429687
"A61D","30",.3279636
"A61D","35",.0228321
"A61D","39",.0771288
"A61D","61",.0229443
"A61D","82",.1017543
"A61D","90",.1495693
"A61D","94",.0351136
"A61F","05",.0364542
"A61F","30",.1775068
"A61F","35",.3954762
