ipc4,hs2007_5,probability_weight
"A01B","82119",.0249736
"A01B","84314",.030473
"A01B","84321",.3728151
"A01B","84322",.4093403
"A01B","84323",.0251507
"A01B","84329",.1372472
"A01C","12093",.0020245
"A01C","31059",.2585906
"A01C","84323",.5365635
"A01C","84324",.0417729
"A01C","84329",.1610485
"A01D","82119",.0428192
"A01D","84331",.3261648
"A01D","84332",.3846219
"A01D","84335",.0701657
"A01D","84339",.1762284
"A01F","11041",.00908
"A01F","28416",.0154104
"A01F","82119",.0287658
"A01F","84224",.0047288
"A01F","84334",.0305597
"A01F","84335",.6262751
"A01F","84339",.2851802
"A01G","06021",.085981
"A01G","06022",.0212016
"A01G","06029",.0214216
"A01G","06041",.0490787
"A01G","06049",.2054526
"A01G","07095",.0222842
"A01G","12092",.0213204
"A01G","12122",.0132612
"A01G","14011",.0420196
"A01G","31059",.2274277
"A01G","82033",.0961065
"A01G","82119",.0431759
"A01G","82130",.0916319
"A01G","84323",.0596371
"A01H","05071",.005462
"A01H","05080",.0173001
"A01H","06023",.0556703
"A01H","06024",.6004912
"A01H","06031",.1066966
"A01H","06039",.0587273
"A01H","12010",.1288797
"A01H","12114",.0025763
"A01H","20060",.0241966
"A01J","04061",.0297032
"A01J","04063",.1242962
"A01J","04069",.0673993
"A01J","84341",.3058636
"A01J","84342",.4211349
"A01J","84349",.0516027
"A01K","01029",.0007347
"A01K","01039",.0040816
"A01K","01042",.0011126
"A01K","01061",.0002699
"A01K","01063",.0002721
"A01K","01069",.0002721
"A01K","02045",.0005249
"A01K","03011",.1174263
"A01K","03019",.1142972
"A01K","03061",.1491559
"A01K","03062",.206352
"A01K","03071",.0059426
"A01K","04081",.1272356
"A01K","04089",.1272356
"A01K","04090",.0006754
"A01K","84361",.0010949
"A01K","84362",.0072637
"A01K","84368",.0029024
"A01K","84369",.0936353
"A01K","84385",.0395152
"A01L","01011",.0068643
"A01L","05079",.967154
"A01L","82031",.0259817
"A01M","01051",.1329516
"A01M","03076",.0013451
"A01M","14011",.0377827
"A01M","28480",.099098
"A01M","31059",.0663448
"A01M","45049",.0043862
"A01M","52010",.0392098
"A01M","52041",.0199908
"A01M","52042",.0099954
"A01M","82059",.0497684
"A01M","82089",.032231
"A01M","84138",.0457514
"A01M","84139",.0480571
"A01M","84242",.0655743
"A01M","84248",.068535
"A01M","84249",.0567804
"A01M","84314",.0838504
"A01M","84659",.0359518
"A01M","84781",.0147834
"A01M","84798",.0430894
"A01M","84818",.0442502
"A01M","84869",.0002728
"A01N","06039",.0498669
"A01N","10089",.0137476
"A01N","15153",.023927
"A01N","17019",.0431753
"A01N","20051",.0011811
"A01N","21033",.0011811
"A01N","23024",.0886596
"A01N","28275",.0593601
"A01N","28289",.0431646
"A01N","29012",.0543342
