ipc4,hs2007_6,probability_weight
"A01B","843210",.394428
"A01B","843221",.0220561
"A01B","843229",.4117033
"A01B","843230",.0266088
"A01B","843290",.1452038
"A01C","120930",.0020245
"A01C","310590",.2585906
"A01C","843230",.5365635
"A01C","843240",.0417729
"A01C","843290",.1610486
"A01D","110419",.0085404
"A01D","843311",.1700637
"A01D","843319",.1700637
"A01D","843320",.4010871
"A01D","843353",.0332362
"A01D","843359",.0332362
"A01D","843390",.1837726
"A01F","284161",.0122132
"A01F","842240",.0037477
"A01F","843340",.0242194
"A01F","843351",.0116336
"A01F","843352",.7221726
"A01F","843390",.2260135
"A01G","060210",.0882951
"A01G","060220",.0217722
"A01G","060290",.0219981
"A01G","060410",.0503996
"A01G","060491",.105491
"A01G","060499",.105491
"A01G","070951",.0233522
"A01G","071231",.0114929
"A01G","120929",.026479
"A01G","121220",.0136181
"A01G","140110",.0431505
"A01G","310590",.2335486
"A01G","460129",.0001834
"A01G","460194",.000695
"A01G","820330",.0986931
"A01G","821300",.094098
"A01G","843230",.0612421
"A01H","050710",.0054032
"A01H","050800",.0171138
"A01H","060230",.0550708
"A01H","060240",.5940252
"A01H","060311",.0008227
"A01H","060313",.0016522
"A01H","060314",.0524742
"A01H","060319",.0580949
"A01H","060390",.0580949
"A01H","120100",.1274919
"A01H","120923",.0006707
"A01H","120924",.0013145
"A01H","121140",.0025485
"A01H","130211",.0012865
"A01H","200600",.0239361
"A01J","040610",.0295932
"A01J","040630",.1238362
"A01J","040690",.0671498
"A01J","842111",.0037012
"A01J","843410",.3047315
"A01J","843420",.4195762
"A01J","843490",.0514117
"A01K","010290",.0007065
"A01K","010391",.0019624
"A01K","010392",.0019624
"A01K","010420",.0010699
"A01K","010619",.0002617
"A01K","010639",.0003925
"A01K","010690",.0002617
"A01K","020450",.0005047
"A01K","030110",.1129188
"A01K","030191",.0003925
"A01K","030193",.0000872
"A01K","030199",.1131135
"A01K","030211",.0005233
"A01K","030376",.0001526
"A01K","030611",.0178143
"A01K","030612",.015052
"A01K","030614",.0414521
"A01K","030619",.0737579
"A01K","030621",.0178143
"A01K","030622",.015052
"A01K","030623",.0606325
"A01K","030624",.0414521
"A01K","030629",.0652526
"A01K","030710",.0057145
"A01K","040819",.1351537
"A01K","040899",.1351537
"A01K","040900",.0006495
"A01K","051191",.0015623
"A01K","460122",.0000785
"A01K","843610",.0010529
"A01K","843621",.0034924
"A01K","843629",.0034924
"A01K","843680",.002791
"A01K","843691",.08748
"A01K","843699",.002791
"A01K","843850",.0379984
"A01L","010110",.0068643
"A01L","050790",.967154
"A01L","820310",.0259817
"A01M","010512",.1423913
"A01M","030760",.00136
"A01M","140110",.0382018
"A01M","281121",.0371592
"A01M","284800",.1001974
"A01M","310590",.0670809
"A01M","450490",.0044349
"A01M","520100",.0396448
"A01M","520411",.0101063
"A01M","520419",.0101063
"A01M","520420",.0101063
"A01M","820590",.0503205
"A01M","841381",.0463351
"A01M","841391",.0488461
"A01M","842420",.0663017
"A01M","842489",.0692953
"A01M","842490",.0574103
"A01M","843149",.0622026
"A01M","846599",.035406
"A01M","847810",.0149474
"A01M","847982",.0431289
"A01M","848180",.0447411
"A01M","848690",.0002758
"A01N","060319",.0664834
"A01N","060390",.0664834
"A01N","100890",.0183286
"A01N","120925",.0010078
"A01N","151530",.0318999
"A01N","200510",.0015746
"A01N","210330",.0015746
"A01N","230240",.1182026
"A01N","282890",.0575479
"A01N","290244",.0008998
"A01N","290352",.0077158
"A01N","290621",.0083023
"A01N","291631",.0597737
"A01N","291634",.0077071
"A01N","291733",.0261793
"A01N","292011",.0111557
"A01N","292412",.0051669
"A01N","292521",.0020995
"A01N","293020",.1177511
"A01N","293050",.0850763
"A01N","293359",.0167676
"A01N","293369",.013973
"A01N","293750",.0753094
"A01N","310210",.1001607
"A01N","846599",.0988588
"A01P","030729",.0074167
"A01P","030739",.0074167
"A01P","030799",.0074167
"A01P","070110",.0048742
"A01P","070700",.0418095
"A01P","090420",.037053
"A01P","090611",.0142438
"A01P","090619",.0142438
"A01P","110630",.0697289
"A01P","120100",.0917025
"A01P","120922",.0094422
"A01P","130219",.0017101
"A01P","200591",.0461264
"A01P","230240",.1233452
"A01P","240110",.1007312
"A01P","281310",.0054537
"A01P","283325",.0280089
"A01P","284321",.0711322
"A01P","291412",.0027136
"A01P","291421",.0748899
"A01P","292121",.0343421
"A01P","293319",.0716041
"A01P","294120",.023571
"A01P","440792",.0072665
"A01P","520100",.1037572
"A21B","120740",.0444296
"A21B","151790",.0073657
"A21B","190120",.1258877
"A21B","190531",.0691548
"A21B","190532",.0431542
"A21B","190590",.710008
"A21C","190211",.2223514
"A21C","190219",.2223514
"A21C","190220",.0584547
"A21C","190230",.1929964
"A21C","190240",.0014516
"A21C","190531",.0420653
"A21C","190590",.2603292
"A21D","070521",.0902399
"A21D","070529",.0742583
"A21D","071022",.0001272
"A21D","071239",.0520936
"A21D","080540",.0117054
"A21D","081400",.0099161
"A21D","090111",.0786107
"A21D","090500",.0144328
"A21D","090940",.0047564
"A21D","100110",.0009673
"A21D","100190",.0688383
"A21D","110100",.2759705
"A21D","110210",.0260591
"A21D","110510",.003315
"A21D","110630",.0355577
"A21D","120890",.0494145
"A21D","151419",.0001661
"A21D","151499",.0001661
"A21D","180100",.0024615
"A21D","190520",.0108369
"A21D","190532",.0878968
"A21D","190590",.0953933
"A21D","210230",.0068165
"A22B","020423",.0323397
"A22B","020443",.0323397
"A22B","020649",.0214485
"A22B","020711",.0364237
"A22B","020712",.0364237
"A22B","020724",.0364237
"A22B","020725",.0364237
"A22B","020732",.0364237
"A22B","020733",.0364237
"A22B","021012",.0504604
"A22B","021099",.0095675
"A22B","050210",.0461852
"A22B","050290",.0461852
"A22B","150100",.0264477
"A22B","160300",.0039664
"A22B","821110",.1137999
"A22B","821191",.1137999
"A22B","821192",.1137999
"A22B","821193",.1137999
"A22B","821194",.0391736
"A22B","960190",.0181442
"A22C","020321",.0010477
"A22C","020322",.0010477
"A22C","020329",.0010477
"A22C","020500",.0006132
"A22C","020711",.0353293
"A22C","020712",.0353293
"A22C","020724",.0353293
"A22C","020725",.0353293
"A22C","020732",.0353293
"A22C","020733",.0353293
"A22C","030194",.0006624
"A22C","030195",.0006624
"A22C","030229",.0000815
"A22C","030339",.0000815
"A22C","030619",.0333033
"A22C","030623",.0352447
"A22C","030629",.0453014
"A22C","160100",.6689307
"A23B","020210",.004617
"A23B","020220",.004617
"A23B","020230",.004617
"A23B","020430",.0014741
"A23B","020441",.0014741
"A23B","020442",.0014741
"A23B","020714",.0019772
"A23B","020727",.0019772
"A23B","020736",.007158
"A23B","021011",.0122713
"A23B","021019",.0057322
"A23B","030212",.0022718
"A23B","030219",.0819393
"A23B","030231",.0066993
"A23B","030233",.0030235
"A23B","030239",.0081331
"A23B","030250",.0022449
"A23B","030262",.0027015
"A23B","030263",.0032649
"A23B","030269",.0835655
"A23B","030311",.0018269
"A23B","030319",.0018269
"A23B","030321",.001254
"A23B","030322",.0018269
"A23B","030329",.0018269
"A23B","030341",.0171858
"A23B","030343",.0012289
"A23B","030349",.0171858
"A23B","030352",.003344
"A23B","030372",.0039924
"A23B","030373",.0039924
"A23B","030375",.0018426
"A23B","030379",.0804719
"A23B","030419",.0089167
"A23B","030429",.0082993
"A23B","030499",.0181478
"A23B","030530",.0825967
"A23B","030541",.0032464
"A23B","030542",.0026576
"A23B","030549",.1079194
"A23B","030551",.0027327
"A23B","030559",.1099011
"A23B","030561",.0026576
"A23B","030562",.0027327
"A23B","030563",.0149302
"A23B","030569",.0060329
"A23B","030749",.0072875
"A23B","030759",.0072875
"A23B","040700",.0100315
"A23B","070410",.0006347
"A23B","071010",.0055937
"A23B","071029",.0038725
"A23B","071040",.0009213
"A23B","071080",.0038725
"A23B","080520",.0014561
"A23B","080940",.0041448
"A23B","081190",.0393197
"A23B","121299",.0969305
"A23B","140490",.013955
"A23B","151800",.0031084
"A23B","160430",.0042527
"A23B","200540",.0052342
"A23B","200710",.0018426
"A23B","210390",.0016817
"A23B","290331",.0012123
"A23B","291550",.0375508
"A23C","040210",.047472
"A23C","040221",.047472
"A23C","040229",.047472
"A23C","040291",.047472
"A23C","040299",.047472
"A23C","040310",.06082
"A23C","040390",.0105104
"A23C","040410",.1094216
"A23C","040490",.0101936
"A23C","040590",.0634334
"A23C","040620",.0112954
"A23C","040630",.2789631
"A23C","040640",.0015927
"A23C","040690",.1750351
"A23C","130190",.011955
"A23C","170211",.0271166
"A23C","350710",.002303
"A23D","030265",.0003366
"A23D","040510",.0431038
"A23D","040520",.002691
"A23D","090930",.0008375
"A23D","120400",.0218267
"A23D","120510",.0367993
"A23D","120590",.0367993
"A23D","150790",.0064985
"A23D","151211",.0169646
"A23D","151521",.0195899
"A23D","151550",.0552771
"A23D","151590",.0507863
"A23D","151710",.2755519
"A23D","152200",.0624636
"A23D","230620",.03521
"A23D","230630",.0434049
"A23D","230660",.1753491
"A23D","291570",.0338698
"A23D","291615",.0621331
"A23D","382312",.0205072
"A23F","080211",.0101579
"A23F","080212",.0101579
"A23F","080450",.0004047
"A23F","080510",.0126694
"A23F","080610",.0072308
"A23F","080620",.0039544
"A23F","080820",.0195229
"A23F","080930",.0198268
"A23F","081350",.0004188
"A23F","090111",.1987242
"A23F","090121",.0280114
"A23F","090190",.0172043
"A23F","090210",.088964
"A23F","090220",.088964
"A23F","090230",.10588
"A23F","090240",.10588
"A23F","090810",.0041344
"A23F","090820",.0014141
"A23F","090910",.0040503
"A23F","100200",.0190709
"A23F","100300",.048574
"A23F","100400",.0050408
"A23F","100590",.048574
"A23F","121190",.0035435
"A23F","130212",.0035969
"A23F","210111",.0469235
"A23F","210112",.0469235
"A23F","210120",.0252304
"A23F","293930",.0249522
"A23G","051199",.2163504
"A23G","070190",.0134993
"A23G","080920",.0024139
"A23G","110813",.0126657
"A23G","170410",.0933114
"A23G","170490",.003168
"A23G","180310",.000646
"A23G","180320",.000646
"A23G","180400",.0103574
"A23G","180500",.0075881
"A23G","180620",.1493682
"A23G","180631",.1435375
"A23G","180632",.1435375
"A23G","180690",.0128456
"A23G","210500",.190065
"A23J","020850",.0006812
"A23J","021093",.0006812
"A23J","030333",.0001492
"A23J","040410",.281383
"A23J","040811",.0129913
"A23J","040819",.0635584
"A23J","040891",.0129913
"A23J","040899",.0635584
"A23J","110811",.0023216
"A23J","110900",.0807687
"A23J","120100",.0805203
"A23J","120991",.0082089
"A23J","121490",.0036011
"A23J","210610",.1965345
"A23J","292320",.0185396
"A23J","350110",.1273329
"A23J","350190",.0402554
"A23J","350211",.0033013
"A23J","350220",.0026219
"A23K","010511",.0005115
"A23K","010594",.0005115
"A23K","020410",.0027648
"A23K","020421",.0027648
"A23K","020422",.0027648
"A23K","020735",.0084978
"A23K","021020",.0010166
"A23K","030192",.0000639
"A23K","030219",.0571854
"A23K","030266",.0010258
"A23K","030269",.0573537
"A23K","030270",.0062386
"A23K","030380",.0191589
"A23K","030510",.0654723
"A23K","030520",.0191589
"A23K","030721",.0005087
"A23K","030731",.0005087
"A23K","030741",.0052845
"A23K","030751",.0052845
"A23K","030791",.0005087
"A23K","050590",.0039275
"A23K","070960",.025727
"A23K","081060",.000341
"A23K","100610",.0020739
"A23K","110311",.0300916
"A23K","110313",.0022761
"A23K","110320",.0085071
"A23K","110520",.0003751
"A23K","110610",.0197201
"A23K","110620",.0015571
"A23K","120100",.0670585
"A23K","120510",.078236
"A23K","120590",.078236
"A23K","120810",.0596265
"A23K","120921",.0233242
"A23K","121410",.0185028
"A23K","230110",.0635378
"A23K","230120",.0635378
"A23K","230210",.0235657
"A23K","230230",.019532
"A23K","230641",.0002557
"A23K","230649",.0002557
"A23K","230910",.0203779
"A23K","292310",.0799011
"A23K","293040",.0164923
"A23K","293629",.0363791
"A23L","020110",.0245713
"A23L","020120",.0245713
"A23L","020130",.0245713
"A23L","020311",.0084512
"A23L","020312",.0084512
"A23L","020319",.0084512
"A23L","020610",.0000199
"A23L","020621",.0000701
"A23L","020629",.0000199
"A23L","020734",.0002375
"A23L","020810",.0053327
"A23L","030221",.0002686
"A23L","030222",.0000598
"A23L","030232",.0000199
"A23L","030240",.0030535
"A23L","030261",.0030535
"A23L","030267",.0000199
"A23L","030332",.0000399
"A23L","030342",.0000199
"A23L","030361",.0003189
"A23L","030377",.0001664
"A23L","030411",.0000199
"A23L","030421",.0003189
"A23L","030491",.0003189
"A23L","040510",.0399977
"A23L","070200",.0657709
"A23L","070310",.0182297
"A23L","070320",.0279043
"A23L","070390",.0053064
"A23L","070490",.0186211
"A23L","070511",.0215795
"A23L","070519",.0215795
"A23L","070610",.0148009
"A23L","070690",.0070224
"A23L","070810",.0395789
"A23L","070820",.0012517
"A23L","070920",.0031159
"A23L","070940",.0048473
"A23L","070970",.0004152
"A23L","071021",.002505
"A23L","071030",.0007865
"A23L","071290",.0294093
"A23L","080420",.0001157
"A23L","081020",.0000199
"A23L","081320",.0006856
"A23L","090620",.0043679
"A23L","090920",.0340792
"A23L","091091",.0002935
"A23L","091099",.0066199
"A23L","100190",.0652131
"A23L","100820",.0017312
"A23L","110100",.047893
"A23L","121010",.0000112
"A23L","190590",.0404398
"A23L","200190",.0430871
"A23L","200210",.0451939
"A23L","200290",.0451939
"A23L","200320",.0000199
"A23L","200490",.0562047
"A23L","200559",.0430725
"A23L","200599",.0430871
"A23L","200911",.000132
"A23L","200929",.0002802
"A23L","210310",.0116215
"A23L","210410",.0409219
"A23L","250100",.0345673
"A23N","071220",.0190796
"A23N","080221",.0097993
"A23N","080222",.0097993
"A23N","080231",.0097993
"A23N","080232",.0097993
"A23N","080240",.0039914
"A23N","080250",.0062071
"A23N","080260",.0066463
"A23N","080711",.0018133
"A23N","080910",.0015873
"A23N","081310",.0014775
"A23N","081340",.0353966
"A23N","090111",.025043
"A23N","090700",.007369
"A23N","120210",.1569436
"A23N","120220",.1569436
"A23N","120300",.00239
"A23N","120600",.0151576
"A23N","120799",.0026313
"A23N","120999",.0072292
"A23N","200912",.0049161
"A23N","200919",.0049175
"A23N","200921",.0018096
"A23N","200941",.0038654
"A23N","200949",.0038654
"A23N","820590",.0471834
"A23N","820890",.1270886
"A23N","821110",.0628221
"A23N","821191",.0628221
"A23N","821192",.0628221
"A23N","821193",.0628221
"A23N","960310",.0402416
"A23N","960350",.0257205
"A23P","020713",.0014123
"A23P","020726",.0014123
"A23P","020840",.0033022
"A23P","021092",.0033022
"A23P","030351",.0009714
"A23P","030371",.0009714
"A23P","040690",.0451439
"A23P","071090",.00255
"A23P","071332",.0021469
"A23P","071333",.0011459
"A23P","071420",.0254348
"A23P","071490",.0254348
"A23P","081050",.0021154
"A23P","100810",.0096169
"A23P","110220",.0056337
"A23P","110290",.1636245
"A23P","110319",.0007305
"A23P","110412",.0011475
"A23P","110422",.0011475
"A23P","110812",.0058539
"A23P","110819",.1956909
"A23P","120791",.0006133
"A23P","121120",.0166784
"A23P","180200",.0039292
"A23P","180610",.0033844
"A23P","190211",.054528
"A23P","190219",.054528
"A23P","190410",.0076461
"A23P","190420",.0076461
"A23P","190490",.0083493
"A23P","190540",.0012666
"A23P","190590",.1936046
"A23P","230240",.1200534
"A23P","251741",.0231706
"A23P","330124",.0018221
"A23P","330129",.0039913
"A24B","090830",.0067441
"A24B","090950",.00603
"A24B","240110",.7712193
"A24B","240130",.0592828
"A24B","240290",.0023061
"A24B","240310",.0051688
"A24B","240391",.0415574
"A24B","240399",.0415574
"A24B","281121",.0660541
"A24B","293991",.0000801
"A24C","240110",.3530693
"A24C","240120",.0386614
"A24C","240220",.6082693
"A24D","240110",.233677
"A24D","240220",.722282
"A24D","391211",.044041
"A24F","240110",.0449311
"A24F","240210",.0364198
"A24F","240220",.5531668
"A24F","293999",.0161573
"A24F","961400",.349325
"A41B","610520",.0035953
"A41B","610610",.0068824
"A41B","610620",.0035504
"A41B","610690",.1062402
"A41B","610729",.0090956
"A41B","610811",.0013235
"A41B","610822",.0180716
"A41B","610829",.3456502
"A41B","610831",.001011
"A41B","610832",.0013235
"A41B","611120",.0004053
"A41B","611239",.0007567
"A41B","611521",.0147114
"A41B","611522",.0147114
"A41B","611529",.0147114
"A41B","611530",.2758476
"A41B","611594",.0016602
"A41B","611595",.0502804
"A41B","611596",.0258653
"A41B","611599",.0216956
"A41B","620429",.0002702
"A41B","620462",.0007445
"A41B","620463",.0016014
"A41B","620469",.0035003
"A41B","620590",.0004804
"A41B","620610",.0033367
"A41B","620620",.0008106
"A41B","620690",.0029722
"A41B","620711",.0027359
"A41B","620719",.0412596
"A41B","620811",.0003885
"A41B","620819",.0010259
"A41B","620829",.0090956
"A41B","620899",.0090956
"A41B","621030",.0001431
"A41B","621050",.0001431
"A41B","621111",.0007567
"A41B","621320",.002562
"A41B","621390",.000608
"A41B","630491",.0010808
"A41C","620432",.0005716
"A41C","620821",.0005716
"A41C","621210",.9988568
"A41D","401519",.0066973
"A41D","401590",.0338188
"A41D","410441",.0001591
"A41D","410449",.0001591
"A41D","410711",.0001591
"A41D","410712",.0001591
"A41D","410719",.0001591
"A41D","410791",.0001591
"A41D","410792",.0001591
"A41D","410799",.0001591
"A41D","420329",.1662281
"A41D","590610",.0502628
"A41D","610422",.0081489
"A41D","610429",.0526827
"A41D","610451",.0006171
"A41D","610452",.0004862
"A41D","610463",.0097745
"A41D","610690",.0318699
"A41D","610721",.0002148
"A41D","610791",.0002864
"A41D","610891",.0002864
"A41D","610990",.0001591
"A41D","611211",.0002031
"A41D","611212",.0003639
"A41D","611219",.0039697
"A41D","611241",.0003182
"A41D","611249",.0023142
"A41D","611610",.0003315
"A41D","620113",.0051273
"A41D","620119",.0069977
"A41D","620191",.0001591
"A41D","620192",.0003182
"A41D","620219",.0140889
"A41D","620291",.0001591
"A41D","620292",.0003182
"A41D","620293",.0001591
"A41D","620299",.0036757
"A41D","620322",.0098354
"A41D","620412",.0001273
"A41D","620419",.0024683
"A41D","620421",.0017917
"A41D","620422",.0116271
"A41D","620439",.0771234
"A41D","620441",.000716
"A41D","620442",.0010247
"A41D","620451",.0007364
"A41D","620452",.0006712
"A41D","620461",.0017685
"A41D","620530",.0001591
"A41D","620630",.000358
"A41D","620721",.0002148
"A41D","620891",.0001591
"A41D","621112",.0028002
"A41D","621139",.0013975
"A41D","621142",.0002436
"A41D","621143",.0005028
"A41D","621430",.0001833
