ipc4,hs2007_1,probability_weight
"A01B","8",1
"A01C","1",.0969937
"A01C","3",.2155737
"A01C","8",.6874326
"A01D","1",.0977108
"A01D","8",.9022892
"A01F","0",.020695
"A01F","1",.1747109
"A01F","2",.0259233
"A01F","8",.7786708
"A01G","0",.1927419
"A01G","1",.1941584
"A01G","2",.0528733
"A01G","3",.0309924
"A01G","5",.0291572
"A01G","8",.5000768
"A01H","0",.5599928
"A01H","1",.4400072
"A01J","0",.9162434
"A01J","8",.0837566
"A01K","0",.9491546
"A01K","8",.0508454
"A01L","0",.8967636
"A01L","8",.1032363
"A01M","0",.0975669
"A01M","1",.0468845
"A01M","2",.0616935
"A01M","5",.0390672
"A01M","8",.7547879
"A01N","0",.0470769
"A01N","1",.1364913
"A01N","2",.8164318
"A01P","0",.074622
"A01P","1",.2026574
"A01P","2",.7227206
"A21B","0",.039158
"A21B","1",.960842
"A21C","1",1
"A21D","0",.2121123
"A21D","1",.7878877
"A22B","0",.661896
"A22B","8",.3381039
"A22C","0",.8509007
"A22C","1",.1093131
"A22C","8",.0397862
"A23B","0",.8803695
"A23B","1",.0915936
"A23B","2",.0280368
"A23C","0",.8741862
"A23C","1",.1258138
"A23D","0",.1586169
"A23D","1",.7892132
"A23D","2",.0521699
"A23F","0",.8982224
"A23F","1",.1017775
"A23G","0",.2332027
"A23G","1",.7667973
"A23J","0",.6411534
"A23J","1",.3252886
"A23J","2",.033558
"A23K","0",.5608167
"A23K","1",.362928
"A23K","2",.0762553
"A23L","0",.6618268
"A23L","1",.2923895
"A23L","2",.0457837
"A23N","0",.3564961
"A23N","1",.4323041
"A23N","8",.1685245
"A23N","9",.0426753
"A23P","0",.2837364
"A23P","1",.7162636
"A24B","0",.0434267
"A24B","2",.9565733
"A24C","2",1
"A24D","2",.9595134
"A24D","3",.0404867
"A24F","2",.964007
"A24F","9",.035993
"A41B","5",.6249436
"A41B","6",.3750564
"A41C","5",.4997987
"A41C","6",.5002013
"A41D","5",.4221673
"A41D","6",.5778327
"A41F","5",.2928916
"A41F","6",.7071084
"A41G","3",.0214316
"A41G","5",.9062561
"A41G","6",.0723123
"A41H","5",.7110049
"A41H","6",.2889951
"A42B","5",.0800449
"A42B","6",.9199551
"A42C","5",.7083283
"A42C","6",.2916717
"A43B","5",.4504837
"A43B","6",.5495163
"A43C","5",.1510809
"A43C","6",.8489192
"A43D","3",.0315573
"A43D","5",.1080502
"A43D","6",.8603926
"A44B","3",.0213889
"A44B","5",.718769
"A44B","6",.0739155
"A44B","9",.1859267
"A44C","3",.0213619
"A44C","5",.02028
"A44C","6",.1152812
"A44C","7",.8158626
"A44C","9",.0272143
"A45B","5",.037084
"A45B","6",.962916
"A45C","3",.0214825
"A45C","4",.6645764
"A45C","5",.1728728
"A45C","6",.0934002
"A45C","9",.0476681
"A45D","3",.1606421
"A45D","5",.072306
"A45D","6",.1017921
"A45D","9",.6652598
"A45F","3",.0638549
"A45F","4",.1744159
"A45F","5",.3878683
"A45F","6",.373861
"A46B","9",1
"A46D","5",.0425425
"A46D","9",.9574575
"A47B","3",.0588926
"A47B","5",.0389569
"A47B","6",.0777334
"A47B","7",.3956234
"A47B","9",.4287937
"A47C","5",.1476585
"A47C","7",.026379
"A47C","9",.8259625
"A47D","5",.1655578
"A47D","6",.0366962
"A47D","9",.797746
"A47F","2",.0266013
"A47F","3",.1108934
"A47F","5",.0669658
"A47F","6",.1578846
"A47F","7",.560688
"A47F","9",.076967
"A47G","3",.0230326
"A47G","5",.7138487
"A47G","6",.1562611
"A47G","7",.0554141
"A47G","9",.0514435
"A47H","5",.1337771
"A47H","6",.8662229
"A47J","0",.3057329
"A47J","1",.16011
"A47J","2",.0379786
"A47J","6",.075355
"A47J","7",.3239077
"A47J","8",.0738243
"A47J","9",.0230915
"A47K","3",.360482
"A47K","5",.205931
"A47K","6",.0964708
"A47K","7",.0394189
"A47K","9",.2976975
"A47L","5",.5514415
"A47L","6",.0283967
"A47L","7",.0257199
"A47L","9",.3944419
"A61B","3",.0505507
"A61B","8",.1159723
"A61B","9",.833477
"A61C","3",.205814
"A61C","6",.0757215
"A61C","8",.0344378
"A61C","9",.6840267
"A61D","0",.1957826
"A61D","2",.0290672
"A61D","3",.3945802
"A61D","6",.0549046
"A61D","8",.0377963
"A61D","9",.2878691
"A61F","3",.6393654
"A61F","6",.1719861
"A61F","9",.1886485
"A61G","3",.0480799
"A61G","8",.2414148
"A61G","9",.7105053
"A61H","3",.1158405
"A61H","6",.1701503
"A61H","8",.1595055
"A61H","9",.5545037
"A61J","3",.8415138
"A61J","6",.0424793
"A61J","9",.1160069
"A61K","0",.0462059
"A61K","2",.5437648
"A61K","3",.4100293
"A61L","2",.3391611
"A61L","3",.5252764
"A61L","6",.0436545
"A61L","8",.0228465
"A61L","9",.0690615
"A61M","3",.3688647
"A61M","6",.0305139
"A61M","9",.6006214
"A61N","3",.1194709
"A61N","6",.0840497
"A61N","8",.1282926
"A61N","9",.6681868
"A61P","0",.0604482
"A61P","2",.4873755
"A61P","3",.4521764
"A61Q","0",.0473137
