ipc4,hs2007_4,probability_weight
"A01B","3105",.0272414
"A01B","8211",.0427218
"A01B","8431",.0375587
"A01B","8432",.8564002
"A01B","8483",.036078
"A01C","3105",.3245268
"A01C","8432",.6754732
"A01D","1202",.0271985
"A01D","8211",.0576501
"A01D","8433",.9151514
"A01F","1202",.0792899
"A01F","8208",.0257685
"A01F","8211",.0794795
"A01F","8433",.8154621
"A01G","0603",.048074
"A01G","0604",.2821179
"A01G","1209",.0254637
"A01G","1401",.0513531
"A01G","3105",.2510253
"A01G","4401",.0311836
"A01G","8203",.0524633
"A01G","8211",.0615901
"A01G","8213",.1033526
"A01G","8432",.0617354
"A01G","8465",.0316411
"A01H","0508",.0187575
"A01H","0602",.6370127
"A01H","0603",.1782571
"A01H","1201",.1397375
"A01H","2006",.0262351
"A01J","0406",.2200952
"A01J","8434",.7799048
"A01K","0103",.0041699
"A01K","0104",.0011367
"A01K","0106",.0006059
"A01K","0206",.0287753
"A01K","0301",.2366775
"A01K","0306",.3615088
"A01K","0408",.2599793
"A01K","0409",.0006901
"A01K","8436",.1064564
"A01L","0101",.0090046
"A01L","0507",.9909954
"A01M","0105",.1260359
"A01M","0408",.035686
"A01M","1401",.037173
"A01M","2848",.099198
"A01M","3105",.0629865
"A01M","5201",.0392494
"A01M","5204",.0300165
"A01M","8205",.0546347
"A01M","8208",.0313434
"A01M","8424",.1524129
"A01M","8431",.0849817
"A01M","8432",.0283291
"A01M","8465",.0359596
"A01M","8478",.0191938
"A01M","8479",.041433
"A01M","8481",.0635438
"A01M","8483",.0578228
"A01N","0603",.0867546
"A01N","1701",.0411974
"A01N","2302",.0747669
"A01N","2827",.0715454
"A01N","2828",.0449312
"A01N","2835",.0673747
"A01N","2901",.0537724
"A01N","2905",.0360467
"A01N","2912",.0418879
"A01N","2918",.1941807
"A01N","2930",.0602073
"A01N","2933",.0357781
"A01N","2937",.0484669
"A01N","3102",.072145
"A01N","8465",.0709449
"A01P","0707",.0327627
"A01P","0904",.0278317
"A01P","0906",.0207712
"A01P","1106",.0472932
"A01P","1201",.0718598
"A01P","1202",.0407628
"A01P","2302",.0947155
"A01P","2401",.085643
"A01P","2813",.0042736
"A01P","2827",.0849439
"A01P","2834",.0466083
"A01P","2835",.0498802
"A01P","2918",.1388596
"A01P","2933",.0399612
"A01P","3102",.0456597
"A01P","3105",.0463238
"A01P","5201",.0813061
"A01P","8465",.0405437
"A21B","1901",.0540904
"A21B","1902",.0253904
"A21B","1905",.9205192
"A21C","1902",.7196648
"A21C","1905",.2803352
"A21D","0705",.07995
"A21D","0712",.0389035
"A21D","0814",.0116114
"A21D","0901",.0915979
"A21D","0905",.0169004
"A21D","1001",.0816757
"A21D","1101",.3231536
"A21D","1105",.0038385
"A21D","1106",.0501687
"A21D","1208",.0433722
"A21D","1801",.0028823
"A21D","1905",.2236595
"A21D","2102",.032286
"A22B","0204",.0390586
"A22B","0207",.2144185
"A22B","0301",.0259947
"A22B","0502",.0983901
"A22B","1501",.0281713
"A22B","1603",.0042248
"A22B","8205",.0273116
"A22B","8211",.5443922
"A22B","9601",.0180382
"A22C","0205",.0005594
"A22C","0207",.1821536
"A22C","0306",.1379845
"A22C","1601",.6102847
"A22C","8211",.0690178
"A23B","0202",.0122567
"A23B","0203",.0258814
"A23B","0207",.0897117
"A23B","0210",.0206526
"A23B","0302",.1669005
"A23B","0303",.0937817
"A23B","0304",.0229312
"A23B","0305",.2686289
"A23B","0307",.0159519
"A23B","0407",.0088768
"A23B","0408",.0713097
"A23B","0710",.0109415
"A23B","0712",.0531759
"A23B","0811",.0347935
"A23B","1212",.0591447
"A23B","1404",.0110317
"A23B","1518",.0027506
"A23B","1604",.0037054
"A23B","2501",.0275738
"A23C","0402",.2471954
"A23C","0403",.0742527
"A23C","0404",.1244821
"A23C","0405",.0434318
"A23C","0406",.5013552
"A23C","1301",.0092828
"A23D","0405",.0685868
"A23D","1202",.0289396
"A23D","1204",.0239749
"A23D","1205",.0808423
"A23D","1504",.057922
"A23D","1507",.0083028
"A23D","1509",.0294614
"A23D","1514",.0284826
"A23D","1515",.0850072
"A23D","1517",.2783985
"A23D","1522",.0686114
"A23D","1804",.0139235
"A23D","2306",.2275471
"A23F","0806",.0130135
"A23F","0808",.0079437
"A23F","0809",.0127483
"A23F","0901",.2632279
"A23F","0902",.4199541
"A23F","0908",.0083535
"A23F","1002",.0225543
"A23F","1003",.0574464
"A23F","1004",.0059615
"A23F","1005",.0567302
"A23F","2101",.1320665
"A23G","0402",.0241566
"A23G","0511",.2160215
"A23G","0701",.0134093
"A23G","1704",.0974933
"A23G","1803",.0013057
"A23G","1805",.0076686
"A23G","1806",.4478647
"A23G","2105",.1920804
"A23J","0402",.0574001
"A23J","0404",.2784215
"A23J","0408",.1627904
"A23J","1109",.0863901
"A23J","1201",.0861245
"A23J","1208",.0249951
"A23J","2106",.1022658
"A23J","3501",.1753741
"A23J","3507",.0262383
"A23K","0207",.1414199
"A23K","0302",.1026944
"A23K","0305",.0636405
"A23K","0408",.0594302
"A23K","0709",.0121266
"A23K","1103",.0305869
"A23K","1201",.0621883
"A23K","1202",.0272932
"A23K","1205",.1451082
"A23K","1208",.0419052
"A23K","1214",.0172227
"A23K","2102",.0354255
"A23K","2301",.1178468
"A23K","2309",.018898
"A23K","2530",.0282608
"A23K","2923",.0475551
"A23K","2936",.0483978
"A23L","0201",.0725251
