ipc4,isic_rev4_2,probability_weight
"A01B","01",.1523239
"A01B","10",.0355392
"A01B","28",.8121369
"A01C","01",.8690118
"A01C","10",.0568319
"A01C","20",.0297343
"A01C","28",.044422
"A01D","01",.0768289
"A01D","10",.2158373
"A01D","28",.7073337
"A01F","01",.1334939
"A01F","10",.3549826
"A01F","28",.5115234
"A01G","01",.1758002
"A01G","02",.0667409
"A01G","10",.1216777
"A01G","20",.0282832
"A01G","28",.0227921
"A01G","36",.5847058
"A01H","01",.302169
"A01H","10",.6978309
"A01J","10",.9461303
"A01J","28",.0538697
"A01K","03",.6398855
"A01K","10",.0440104
"A01K","36",.316104
"A01L","15",.7264978
"A01L","16",.0738572
"A01L","20",.1996449
"A01M","01",.305512
"A01M","02",.0417567
"A01M","10",.0446711
"A01M","20",.2306133
"A01M","27",.1714419
"A01M","28",.0696986
"A01M","32",.0235564
"A01M","36",.11275
"A01N","01",.123986
"A01N","10",.2652451
"A01N","20",.510062
"A01N","36",.100707
"A01P","01",.2203662
"A01P","10",.4077254
"A01P","20",.2911003
"A01P","36",.0808081
"A21B","10",.7483736
"A21B","27",.0254991
"A21B","28",.078235
"A21B","35",.0578962
"A21B","98",.0899962
"A21C","10",.9644338
"A21C","28",.0355661
"A21D","10",1
"A22B","01",.0225098
"A22B","10",.7162446
"A22B","28",.1714832
"A22B","88",.0897624
"A22C","10",.9509764
"A22C","28",.0490236
"A23B","01",.1314658
"A23B","10",.8232292
"A23B","36",.045305
"A23C","10",1
"A23D","01",.113064
"A23D","10",.886936
"A23F","01",.8946732
"A23F","10",.1053268
"A23G","01",.0818663
"A23G","10",.9181337
"A23J","01",.0294221
"A23J","10",.9211204
"A23J","36",.0494574
"A23K","01",.1750803
"A23K","03",.0220388
"A23K","10",.8028809
"A23L","01",.2003817
"A23L","10",.7996183
"A23N","01",.1325263
"A23N","10",.6301376
"A23N","28",.0919697
"A23N","35",.0298629
"A23N","36",.0857294
"A23N","47",.029774
"A23P","01",.0301073
"A23P","10",.9261338
"A23P","28",.0437589
"A24B","10",.0263086
"A24B","12",.9736915
"A24C","12",.4583205
"A24C","17",.342834
"A24C","28",.1988455
"A24D","12",.1505271
"A24D","17",.8139268
"A24D","20",.0355461
"A24F","12",1
"A41B","13",.2358559
"A41B","14",.7641441
"A41C","13",.7289485
"A41C","14",.244625
"A41C","20",.0264265
"A41D","13",.3794456
"A41D","14",.6205544
"A41F","13",.4811834
"A41F","14",.1318509
"A41F","15",.0368238
"A41F","22",.0811617
"A41F","32",.2689803
"A41G","13",.1775826
"A41G","20",.3967577
"A41G","22",.0740849
"A41G","25",.0326566
"A41G","32",.0388818
"A41G","90",.052214
"A41G","96",.2278224
"A41H","13",.6922895
"A41H","14",.1774212
"A41H","32",.1302893
"A42B","13",.3077376
"A42B","14",.4192784
"A42B","15",.0220587
"A42B","22",.0505156
"A42B","32",.2004096
"A42C","13",.7708709
"A42C","14",.1775522
"A42C","20",.0263803
"A42C","22",.0251966
"A43B","15",1
"A43C","15",1
"A43D","15",1
"A44B","13",.2208189
"A44B","15",.0280379
"A44B","22",.0534497
"A44B","32",.6976935
"A44C","15",.0725522
"A44C","24",.0352785
"A44C","25",.0685483
"A44C","32",.7986611
"A44C","56",.0249598
"A45B","32",1
"A45C","13",.02392
"A45C","15",.8321039
"A45C","22",.0428344
"A45C","32",.1011417
"A45D","32",.1323768
"A45D","96",.8676232
"A45F","13",.1260535
"A45F","15",.5470157
"A45F","22",.2066364
"A45F","25",.0266679
"A45F","32",.0936264
"A46B","32",1
"A46D","32",1
"A47B","31",1
"A47C","31",1
"A47D","15",.0210168
"A47D","31",.9789832
"A47F","31",.9773343
"A47F","91",.0226657
"A47G","10",.0279567
"A47G","11",.0587398
"A47G","13",.3076368
"A47G","15",.0250213
"A47G","17",.0965345
"A47G","22",.038151
"A47G","24",.0243429
"A47G","25",.1278539
"A47G","31",.0659777
"A47G","32",.0376238
"A47G","36",.1901617
"A47H","13",.864078
"A47H","22",.0403416
"A47H","24",.0245188
"A47H","28",.0710616
"A47J","10",.373899
"A47J","24",.0257207
"A47J","25",.0397465
"A47J","27",.2200951
"A47J","28",.0296077
"A47J","36",.310931
"A47K","17",.5851905
"A47K","20",.0319188
"A47K","22",.0312747
"A47K","31",.0825263
"A47K","32",.026655
"A47K","36",.2424346
"A47L","13",.0433323
"A47L","15",.0515598
"A47L","27",.3182161
"A47L","32",.2914561
"A47L","36",.1496426
"A47L","81",.1457931
"A61B","21",.0354161
"A61B","22",.0533615
"A61B","25",.0557409
"A61B","32",.1366399
"A61B","86",.7188416
"A61C","32",.9594895
"A61C","86",.0405105
"A61D","10",.0319468
"A61D","21",.5679155
"A61D","22",.1095825
"A61D","28",.0445636
"A61D","32",.0348438
"A61D","36",.0283883
"A61D","86",.0263691
"A61D","88",.1563904
"A61F","13",.2611554
"A61F","17",.0878932
"A61F","20",.1708343
"A61F","21",.1722904
"A61F","22",.0584638
"A61F","23",.0265995
"A61F","32",.0300202
"A61F","36",.0351485
"A61F","86",.1575947
"A61G","31",.7334374
"A61G","32",.0675694
"A61G","86",.1859489
"A61G","87",.0130443
"A61H","21",.0559989
"A61H","31",.1053413
"A61H","32",.0282353
"A61H","36",.0381026
"A61H","86",.0419238
"A61H","96",.730398
"A61J","21",.9200367
"A61J","22",.0799633
"A61K","10",.0370822
"A61K","20",.0431982
"A61K","21",.9197196
"A61L","13",.0381493
"A61L","20",.4435825
"A61L","21",.1114782
"A61L","23",.0255367
"A61L","27",.0338945
"A61L","31",.1152902
"A61L","32",.0952685
"A61L","36",.1368001
"A61M","21",.7464244
"A61M","22",.1159544
"A61M","28",.0324379
"A61M","32",.0256397
"A61M","86",.0795436
"A61N","13",.0442155
"A61N","20",.0375519
"A61N","21",.3352295
"A61N","27",.1605712
"A61N","31",.045946
"A61N","32",.0492562
"A61N","86",.2065729
"A61N","96",.1206568
"A61P","10",.027843
"A61P","21",.972157
"A61Q","10",.1401706
"A61Q","20",.6678328
"A61Q","21",.1129192
"A61Q","36",.0790774
"A62B","13",.0746542
"A62B","15",.485171
"A62B","20",.0543966
"A62B","22",.0277296
"A62B","28",.0972726
"A62B","32",.2118888
"A62B","36",.0250486
"A62B","88",.0238386
"A62C","20",.0432467
"A62C","28",.1876917
"A62C","30",.0225373
"A62C","31",.0256886
"A62C","36",.6749699
"A62C","49",.0458658
"A62D","20",.7347369
"A62D","23",.0232715
"A62D","36",.2419916
"A63B","32",.1119927
"A63B","93",.8880073
"A63C","15",.3176741
"A63C","32",.682326
"A63D","13",.0477627
"A63D","16",.1288672
"A63D","22",.1394277
"A63D","23",.0592371
"A63D","26",.0506336
"A63D","28",.1077323
"A63D","31",.02493
"A63D","32",.3132817
"A63D","56",.0774026
"A63D","92",.050725
"A63F","26",.0212778
"A63F","32",.1424891
"A63F","92",.8362331
"A63G","28",.0250305
"A63G","30",.0285845
"A63G","31",.0663177
"A63G","32",.0890579
"A63G","55",.6710199
"A63G","93",.1199896
"A63H","30",.035148
"A63H","32",.93827
"A63H","56",.026582
"A63J","90",1
"A63K","13",.0450197
"A63K","15",.091666
"A63K","16",.1125417
"A63K","22",.3223858
"A63K","25",.0265011
"A63K","26",.0243247
"A63K","28",.0262837
"A63K","30",.189347
"A63K","32",.1090996
"A63K","93",.0528307
"B01B","11",.0228805
"B01B","20",.0248644
"B01B","28",.0333635
"B01B","35",.7918487
"B01B","36",.127043
"B01D","20",.1727032
"B01D","23",.0248686
"B01D","28",.0300161
"B01D","35",.0678805
"B01D","36",.6591766
"B01D","49",.0453549
"B01F","10",.0331337
"B01F","20",.3223977
"B01F","21",.0447192
"B01F","23",.051344
"B01F","28",.1338493
"B01F","35",.0300226
"B01F","36",.3845335
"B01J","19",.1362111
"B01J","20",.5835049
"B01J","23",.024646
"B01J","25",.0425948
"B01J","35",.0583231
"B01J","36",.1547201
