ipc4,isic_rev4_1,probability_weight
"A01B","A",.3711308
"A01B","B",.0851099
"A01B","C",.5437593
"A01C","A",.8984537
"A01C","B",.0651019
"A01C","C",.0364444
"A01D","A",.1606154
"A01D","B",.4742864
"A01D","C",.3650982
"A01F","A",.2014796
"A01F","B",.5919905
"A01F","C",.2065299
"A01G","A",.242751
"A01G","B",.1240836
"A01G","C",.0303854
"A01G","E",.60278
"A01H","A",.2824043
"A01H","B",.7175958
"A01J","B",1
"A01K","A",.1651027
"A01K","B",.0943885
"A01K","C",.0543954
"A01K","E",.6861135
"A01L","A",.0409424
"A01L","B",.0272483
"A01L","C",.9020723
"A01L","E",.0297371
"A01M","A",.4718936
"A01M","B",.0606069
"A01M","C",.3124508
"A01M","E",.1550487
"A01N","A",.210306
"A01N","B",.4556841
"A01N","C",.1590558
"A01N","E",.1749541
"A01P","A",.2974082
"A01P","B",.5284965
"A01P","C",.068067
"A01P","E",.1060283
"A21B","B",.8926859
"A21B","C",.03718
"A21B","D",.0701341
"A21C","B",1
"A21D","B",1
"A22B","A",.025348
"A22B","B",.9084196
"A22B","C",.0662324
"A22C","B",1
"A23B","A",.1250716
"A23B","B",.8288267
"A23B","E",.0461017
"A23C","B",1
"A23D","A",.1035508
"A23D","B",.8964492
"A23F","A",.8847609
"A23F","B",.1152391
"A23G","A",.0784876
"A23G","B",.9215124
"A23J","A",.0294332
"A23J","B",.9205546
"A23J","E",.0500122
"A23K","A",.181837
"A23K","B",.8181629
"A23L","A",.1884141
"A23L","B",.811586
"A23N","A",.1336602
"A23N","B",.7002211
"A23N","C",.0355367
"A23N","D",.0337001
"A23N","E",.096882
"A23P","A",.0300307
"A23P","B",.9699693
"A24B","B",.8393534
"A24B","C",.1606466
"A24C","C",1
"A24D","B",.0617157
"A24D","C",.9382843
"A24F","B",.039545
"A24F","C",.9604551
"A41B","C",1
"A41C","C",1
"A41D","C",1
"A41F","C",1
"A41G","C",1
"A41H","C",1
"A42B","C",1
"A42C","C",1
"A43B","C",1
"A43C","C",1
"A43D","C",1
"A44B","C",1
"A44C","C",1
"A45B","C",1
"A45C","C",1
"A45D","C",1
"A45F","C",1
"A46B","C",1
"A46D","C",1
"A47B","C",1
"A47C","C",1
"A47D","C",1
"A47F","B",.0205796
"A47F","C",.9794204
"A47G","B",.0653091
"A47G","C",.4856983
"A47G","E",.4489927
"A47H","C",1
"A47J","B",.4593377
"A47J","C",.1545888
"A47J","E",.3860735
"A47K","C",.3638119
"A47K","E",.6361881
"A47L","C",.5840813
"A47L","E",.4159187
"A61B","B",.0344485
"A61B","C",.9257089
"A61B","E",.0398426
"A61C","C",.9650828
"A61C","E",.0349172
"A61D","A",.0206959
"A61D","B",.1196198
"A61D","C",.7522501
"A61D","E",.1074342
"A61F","C",.9029133
"A61F","E",.0970867
"A61G","C",.946515
"A61G","E",.053485
"A61H","C",.6736476
"A61H","E",.3263523
"A61J","B",.1301497
"A61J","C",.8107309
"A61J","E",.0591194
"A61K","A",.0814499
"A61K","B",.2722233
"A61K","C",.5595006
"A61K","E",.0868261
"A61L","C",.7327639
"A61L","E",.2373373
"A61L","F",.0298988
"A61M","C",.9376385
"A61M","E",.0623615
"A61N","C",.9582362
"A61N","E",.0417638
"A61P","A",.1626109
"A61P","B",.2931312
"A61P","C",.492424
"A61P","E",.0518339
"A61Q","A",.0367996
"A61Q","B",.3176321
"A61Q","C",.4644321
"A61Q","E",.1811362
"A62B","C",.9227366
"A62B","E",.0772633
"A62C","C",.229112
"A62C","E",.770888
"A62D","C",.5192307
"A62D","E",.4807693
"A63B","C",1
"A63C","C",1
"A63D","C",1
"A63F","C",1
"A63G","C",1
"A63H","C",1
"A63J","C",1
"A63K","C",1
"B01B","C",.0474435
"B01B","D",.8213992
"B01B","E",.1311573
"B01D","C",.1714296
"B01D","D",.076515
"B01D","E",.7520554
"B01F","B",.043059
"B01F","C",.4317072
"B01F","D",.0380624
"B01F","E",.4871714
"B01J","C",.5570556
"B01J","D",.1207427
"B01J","E",.3222018
"B01L","C",.7331146
"B01L","E",.2668854
"B02B","B",1
"B02C","B",.4466275
"B02C","C",.5533724
"B03B","C",.1137429
"B03B","E",.8862571
"B03C","C",.454255
"B03C","E",.545745
"B03D","C",.2892008
"B03D","E",.7107992
"B04B","B",.0878598
"B04B","C",.830748
"B04B","E",.0813923
"B04C","C",.2457449
"B04C","D",.1104657
"B04C","E",.6437894
"B05B","C",.2502647
"B05B","E",.7497354
"B05C","C",.9791578
"B05C","E",.0208422
"B05D","C",.9001102
"B05D","E",.0998899
"B06B","C",1
"B07B","A",.2208926
"B07B","B",.3619239
"B07B","C",.4171836
"B07C","B",.2363118
"B07C","C",.7636881
"B08B","C",.2566782
"B08B","E",.7433218
"B09B","B",.0355954
"B09B","C",.2308561
"B09B","E",.5112028
"B09B","F",.2223458
"B09C","B",.0399989
"B09C","C",.1332523
"B09C","E",.754271
"B09C","F",.0724778
"B21B","C",1
"B21C","C",1
"B21D","C",1
"B21F","C",1
"B21G","C",1
"B21H","C",1
"B21J","C",1
"B21K","C",1
"B21L","C",1
"B22C","C",1
"B22D","C",1
"B22F","C",1
"B23B","C",1
"B23C","C",1
"B23D","C",1
"B23F","C",1
"B23G","C",1
"B23H","C",1
"B23K","C",1
"B23P","C",1
"B23Q","C",1
"B24B","C",1
"B24C","C",.3470093
"B24C","F",.6529907
"B24D","C",1
"B25B","C",1
"B25C","C",1
"B25D","C",1
"B25F","C",1
"B25G","C",1
"B25H","C",1
"B25J","C",1
"B26B","C",1
"B26D","C",1
"B26F","C",1
"B27B","C",1
"B27C","C",1
"B27D","C",.9783444
"B27D","D",.0216556
"B27F","C",1
"B27G","C",1
"B27H","C",.736726
"B27H","D",.263274
"B27J","C",1
"B27K","C",.6679707
"B27K","D",.3320293
"B27L","C",1
"B27M","C",.9706066
"B27M","D",.0293935
"B27N","A",.0210107
"B27N","C",.7353491
"B27N","D",.2436402
"B28B","C",1
"B28C","C",1
"B28D","C",1
"B29B","C",1
"B29C","C",1
"B29D","C",1
"B29K","C",1
"B29L","C",1
"B30B","B",.0410014
"B30B","C",.9589986
"B31B","C",1
"B31C","C",1
"B31D","C",1
"B31F","C",.9681851
"B31F","D",.0318149
"B32B","C",1
"B33Y","C",1
"B41B","C",1
"B41C","C",1
"B41D","C",1
"B41F","C",1
"B41G","C",1
"B41J","C",1
"B41K","C",1
"B41L","C",1
"B41M","C",1
"B41N","C",1
"B42B","C",1
"B42C","C",1
"B42D","C",1
"B42F","C",1
"B43K","C",1
"B43L","C",1
"B43M","C",1
"B44B","C",1
"B44C","C",1
"B44D","C",1
"B44F","C",1
"B60B","C",1
"B60C","C",1
"B60D","C",1
"B60F","C",.4604631
"B60F","E",.539537
"B60G","C",1
"B60H","C",.5927726
"B60H","D",.1776763
"B60H","E",.2295511
"B60J","C",.9777923
"B60J","E",.0222077
"B60K","C",1
"B60L","C",1
"B60M","C",.9791847
"B60M","F",.0208152
"B60N","C",1
"B60P","C",.9712284
"B60P","E",.0287716
"B60Q","C",1
"B60R","C",1
"B60S","C",.7038064
"B60S","E",.2961936
"B60T","C",1
"B60V","C",.5086491
"B60V","E",.4913508
"B60W","C",1
"B61B","C",1
"B61C","C",.9774998
"B61C","D",.0225002
"B61D","C",1
"B61F","C",1
"B61G","C",1
"B61H","C",1
"B61J","C",.9704074
"B61J","F",.0295927
"B61K","C",1
"B61L","C",1
"B62B","C",1
"B62C","C",1
"B62D","C",1
"B62H","C",1
"B62J","C",1
"B62K","C",1
"B62L","C",1
"B62M","C",1
"B63B","C",.3054035
"B63B","E",.6945965
"B63C","C",.2544171
"B63C","E",.745583
"B63G","C",.336374
"B63G","E",.663626
"B63H","C",.5108059
"B63H","E",.4891941
"B63J","C",.1681729
"B63J","D",.2330161
"B63J","E",.598811
"B64B","C",.9755138
"B64B","E",.0244862
"B64C","C",1
"B64D","C",1
"B64F","C",1
"B64G","C",1
"B65B","B",.0588475
"B65B","C",.9411525
"B65C","C",1
"B65D","B",.1155843
"B65D","C",.8844157
"B65F","C",1
"B65G","C",1
"B65H","C",1
"B66B","C",.9423361
"B66B","F",.0576639
"B66C","C",1
"B66D","C",1
"B66F","C",1
"B67B","C",1
"B67C","B",.0339175
"B67C","C",.7843613
"B67C","D",.0298226
"B67C","E",.1518987
"B67D","B",.0942557
"B67D","C",.4270324
"B67D","D",.041931
"B67D","E",.4367809
"B68B","B",.0314178
"B68B","C",.9685822
"B68C","C",1
"B68F","C",1
"B68G","C",1
"B81B","C",.7242051
