ipc4,isic_rev4_4,probability_weight
"A01B","0150",.0003256
"A01B","0164",.0347805
"A01B","2814",.0288184
"A01B","2821",.9360756
"A01C","0164",.7769629
"A01C","1061",.0461233
"A01C","2012",.0923734
"A01C","2821",.0845405
"A01D","0161",.0776611
"A01D","1061",.0232403
"A01D","2821",.8990987
"A01F","0163",.0562815
"A01F","1061",.1353566
"A01F","2821",.8083619
"A01G","0119",.0391781
"A01G","0161",.0555275
"A01G","0164",.1190711
"A01G","0210",.0768148
"A01G","0240",.0214924
"A01G","1030",.1477254
"A01G","1061",.0297385
"A01G","2012",.0564346
"A01G","3600",.4533465
"A01G","8130",.0006711
"A01H","0164",.300135
"A01H","1030",.5146069
"A01H","1061",.1852581
"A01J","1050",.9429724
"A01J","2825",.0570276
"A01K","0145",.0573418
"A01K","0146",.0161343
"A01K","0149",.0323462
"A01K","0311",.0706156
"A01K","0312",.0239919
"A01K","0321",.3836424
"A01K","0322",.0132839
"A01K","1010",.0818128
"A01K","1080",.0859884
"A01K","3600",.2348428
"A01L","0141",.0642999
"A01L","0142",.4612374
"A01L","1520",.3335208
"A01L","1629",.0340609
"A01L","2013",.0256146
"A01L","2029",.0812664
"A01M","0161",.0257222
"A01M","0170",.8989429
"A01M","2021",.0753348
"A01N","0130",.0286766
"A01N","2021",.9713234
"A01P","0130",.0246036
"A01P","1030",.0510414
"A01P","1061",.0364432
"A01P","2021",.8879117
"A21B","1061",.0722463
"A21B","1071",.7921613
"A21B","1075",.0048605
"A21B","2750",.0238329
"A21B","2825",.08397
"A21B","9820",.022929
"A21C","1061",.3125781
"A21C","1071",.1242583
"A21C","1074",.5344261
"A21C","2825",.0287375
"A21D","1061",.8165606
"A21D","1071",.1191156
"A21D","1072",.0643238
"A22B","0145",.2341365
"A22B","1010",.7241514
"A22B","2816",.041712
"A22C","1010",1
"A23B","0111",.0243888
"A23B","0113",.0253622
"A23B","0114",.0362011
"A23B","0128",.045258
"A23B","1010",.4033765
"A23B","1020",.0695054
"A23B","1030",.2809134
"A23B","1061",.0378105
"A23B","1072",.0492002
"A23B","3600",.0279839
"A23C","1050",1
"A23D","0164",.0265065
"A23D","1040",.8942154
"A23D","1050",.0792781
"A23F","0111",.0251563
"A23F","0127",.9748437
"A23G","0114",.0574216
"A23G","1050",.2286927
"A23G","1072",.0811771
"A23G","1073",.6327086
"A23J","1010",.1717034
"A23J","1050",.5167578
"A23J","1061",.1302547
"A23J","1062",.1490702
"A23J","3600",.0322139
"A23K","0111",.0777373
"A23K","0112",.0600276
"A23K","0121",.0084436
"A23K","0143",.0021187
"A23K","1010",.3739131
"A23K","1030",.0244764
"A23K","1050",.0502747
"A23K","1061",.2353539
"A23K","1062",.0304828
"A23K","1079",.0412671
"A23K","1080",.0959048
"A23L","0111",.0918299
"A23L","0113",.0515988
"A23L","0114",.0292139
"A23L","0128",.1248182
"A23L","1010",.1269726
"A23L","1020",.0298885
"A23L","1030",.1985734
"A23L","1040",.0292708
"A23L","1050",.0357934
"A23L","1061",.1832206
"A23L","1071",.0399244
"A23L","1072",.0588955
"A23N","0164",.0680307
"A23N","1030",.8036548
"A23N","2816",.0344138
"A23N","2825",.0363789
"A23N","3600",.036433
"A23N","4721",.0105444
"A23N","4761",.0105444
"A23P","0112",.0231289
"A23P","1010",.0605834
"A23P","1030",.0336885
"A23P","1050",.026935
"A23P","1061",.3210739
"A23P","1062",.0524243
"A23P","1071",.0925154
"A23P","1074",.0841549
"A23P","2825",.3054957
"A24B","1072",.0865233
"A24B","1200",.9134768
"A24C","1200",.1299812
"A24C","1701",.1038471
"A24C","2816",.0710678
"A24C","2825",.6951039
"A24D","1200",.143038
"A24D","1701",.856962
"A24F","1200",1
"A41B","1391",.236792
"A41B","1410",.6530759
"A41B","1430",.110132
"A41C","1391",.6854389
"A41C","1399",.0208399
"A41C","1410",.2470317
"A41C","2029",.0466894
"A41D","1391",.3913749
"A41D","1410",.4216323
"A41D","1430",.1869927
"A41F","1391",.2543437
"A41F","1410",.0742737
"A41F","1511",.0296114
"A41F","1512",.0222177
"A41F","2220",.0254308
"A41F","3290",.1751999
"A41F","4641",.4189228
"A41G","1391",.0912136
"A41G","2023",.02373
"A41G","2029",.4027168
"A41G","2030",.1314528
"A41G","2220",.0333166
"A41G","9000",.0259701
"A41G","9329",.0143656
"A41G","9602",.2772345
"A41H","1391",.6172056
"A41H","1410",.1417138
"A41H","2029",.0363914
"A41H","3290",.1816621
"A41H","8292",.0230271
"A42B","1391",.2475236
"A42B","1410",.3831162
"A42B","2220",.0334023
"A42B","3230",.2650681
"A42B","3290",.07089
"A42C","1313",.0849537
"A42C","1391",.680991
"A42C","1410",.1655237
"A42C","2029",.0320665
"A42C","3230",.0364651
"A43B","1520",1
"A43C","1520",1
"A43D","1520",1
"A44B","1391",.1656712
"A44B","1512",.0286006
"A44B","2220",.0410844
"A44B","3290",.7646438
"A44C","1512",.0347642
"A44C","2396",.0441742
"A44C","3211",.9210616
"A45B","3290",1
"A45C","1512",.9326923
"A45C","2220",.0263404
"A45C","3290",.0409672
"A45D","3290",.0909301
"A45D","8522",.0249874
"A45D","9602",.8840824
"A45F","1391",.0595041
"A45F","1512",.7326546
"A45F","2220",.1493184
"A45F","3290",.0585229
"A46B","3290",1
"A46D","3290",1
"A47B","3100",1
"A47C","3100",1
"A47D","1512",.0491931
"A47D","3100",.9456069
"A47D","9700",.0052
"A47F","3100",.9677842
"A47F","5610",.0080043
"A47F","9102",.0242114
"A47G","1102",.0342401
"A47G","1391",.0356492
"A47G","1392",.2313539
"A47G","1393",.2748624
"A47G","1701",.0247752
"A47G","1709",.0454424
"A47G","2593",.1833764
"A47G","3100",.0375144
"A47G","3290",.0244898
"A47G","3600",.1081244
"A47G","5629",.0001717
"A47H","1391",.1454269
"A47H","1392",.6986877
"A47H","1394",.0562641
"A47H","2220",.0231448
"A47H","2814",.0764766
"A47J","1030",.0336114
"A47J","1050",.0367389
"A47J","1061",.0896292
"A47J","1071",.0459212
"A47J","2593",.0279048
"A47J","2750",.4212946
"A47J","2825",.1884747
"A47J","3600",.1564251
"A47K","1701",.1515577
"A47K","1709",.367747
"A47K","2023",.2710126
"A47K","3100",.053131
"A47K","3600",.1560811
"A47K","8790",.0004705
"A47L","1393",.0813032
"A47L","1520",.0387687
"A47L","2750",.4950515
"A47L","3290",.2434753
"A47L","3600",.0707561
"A47L","8121",.0060814
"A47L","8129",.0645637
"A61B","2100",.0247073
"A61B","2219",.027963
"A61B","2593",.0791655
"A61B","2817",.0280128
"A61B","3250",.2944893
"A61B","8620",.5456622
"A61C","3250",1
"A61D","0141",.0636599
"A61D","0144",.0571666
"A61D","0145",.0528372
"A61D","0162",.0405588
"A61D","1010",.0734196
"A61D","2100",.3836373
"A61D","2219",.0277549
"A61D","2220",.0498027
"A61D","2811",.0534181
"A61D","3250",.0861025
"A61D","8890",.1116424
"A61F","1391",.2124487
"A61F","1701",.0698926
"A61F","2013",.0627556
"A61F","2029",.2094022
"A61F","2100",.1469716
"A61F","2220",.040666
"A61F","2394",.0481998
"A61F","3250",.0368906
"A61F","3600",.0299833
"A61F","8620",.1427897
"A61G","3100",.5073908
"A61G","3250",.2471346
"A61G","8620",.0598238
"A61G","8690",.1512245
"A61G","8710",.0237006
"A61G","8810",.0005269
"A61G","9603",.010199
"A61H","2100",.0393635
"A61H","3100",.0740478
"A61H","3600",.0267836
"A61H","8690",.0505239
"A61H","9609",.8092812
"A61J","1050",.08615
"A61J","2100",.8530998
"A61J","2220",.0607502
"A61K","2013",.0262795
"A61K","2100",.9737206
"A61L","2011",.0340976
"A61L","2012",.0325374
"A61L","2013",.1448138
"A61L","2023",.0777213
"A61L","2029",.0224359
"A61L","2100",.0635232
"A61L","2740",.1206719
"A61L","3100",.0656954
"A61L","3250",.3034349
"A61L","3600",.0779523
"A61L","4390",.0571163
"A61M","2100",.6834784
"A61M","2219",.0675191
"A61M","2220",.0496623
"A61M","2811",.0665134
"A61M","3250",.0628311
"A61M","8620",.0699957
"A61N","1391",.0333755
"A61N","2029",.029321
"A61N","2100",.3217493
"A61N","2720",.1333384
"A61N","2733",.0273185
"A61N","3100",.0440984
"A61N","3250",.0540861
"A61N","8620",.2051241
"A61N","9609",.1515886
"A61P","0124",.0081247
"A61P","1030",.0250588
"A61P","2100",.9668164
"A61Q","1030",.0300527
"A61Q","1050",.0296855
"A61Q","2011",.0485853
"A61Q","2013",.2074446
"A61Q","2023",.5530582
"A61Q","2100",.0587376
"A61Q","3250",.031302
"A61Q","3600",.041134
"A62B","1391",.0417525
"A62B","1512",.6520596
"A62B","2011",.0439167
"A62B","2814",.0641557
"A62B","3290",.1981155
"A62C","2011",.0260279
"A62C","2819",.5085816
"A62C","3030",.0231072
"A62C","3600",.4136729
"A62C","4930",.0286103
"A62D","2011",.6021635
"A62D","2012",.1733142
"A62D","2013",.0262573
"A62D","2815",.0324042
"A62D","3600",.1658609
"A63B","3230",.4954212
"A63B","9312",.5045788
"A63C","1520",.0727411
"A63C","3230",.9229354
"A63C","9311",.0043235
"A63D","1393",.0439628
"A63D","1629",.0516833
"A63D","2219",.0525414
"A63D","2829",.3660641
"A63D","3211",.0305173
"A63D","3230",.3229671
"A63D","3240",.0473179
"A63D","5630",.0374026
"A63D","9319",.0475435
"A63F","3240",.503979
"A63F","9200",.4960211
"A63G","3240",.0636202
"A63G","5510",.1010745
"A63G","9321",.8353052
"A63H","3240",1
"A63J","3240",.0256761
"A63J","9000",.8631553
"A63J","9321",.1111686
"A63K","1610",.045819
"A63K","2220",.0687659
"A63K","3012",.1630561
"A63K","3230",.1300883
"A63K","8610",.0168793
"A63K","9321",.5753915
"B01B","2011",.0261092
"B01B","2819",.091527
"B01B","3311",.1902394
"B01B","3530",.6034621
"B01B","3600",.0886623
"B01D","1071",.0272842
"B01D","2011",.1516949
"B01D","2012",.058048
"B01D","2813",.0247961
"B01D","3530",.059549
"B01D","3600",.6342139
"B01D","4930",.044414
"B01F","2011",.2551474
"B01F","2013",.0447494
"B01F","2022",.1128229
"B01F","2100",.0470163
"B01F","2394",.0332271
"B01F","2814",.0723702
"B01F","3530",.0303805
"B01F","3600",.4042862
"B01J","1910",.0270368
"B01J","1920",.0809862
"B01J","2011",.4165298
"B01J","2012",.1320694
"B01J","2013",.0939468
"B01J","2392",.0383757
"B01J","2591",.0493641
"B01J","3530",.0400586
"B01J","3600",.1216326
"B01L","2011",.2722979
"B01L","2100",.0260425
"B01L","2219",.2199035
"B01L","2220",.0723032
"B01L","2310",.2049161
"B01L","2811",.0571707
"B01L","2819",.0542131
"B01L","3600",.0931531
"B02B","1061",1
"B02C","1010",.0370739
"B02C","1061",.1552711
"B02C","2593",.2156254
"B02C","2812",.0243506
"B02C","2814",.1228514
"B02C","2816",.0528969
"B02C","2825",.2846245
"B02C","2826",.0400449
"B02C","2829",.0391553
"B02C","3312",.028106
"B03B","0510",.3170586
"B03B","0710",.0823376
"B03B","0729",.2374143
"B03B","0810",.0317923
"B03B","2392",.0328235
"B03B","2816",.0409672
"B03B","3600",.2576064
"B03C","0710",.4272991
"B03C","2011",.0323153
"B03C","2393",.0514729
"B03C","2591",.0298238
"B03C","2599",.0250694
"B03C","2710",.037967
"B03C","2790",.0517535
"B03C","2816",.117317
"B03C","3600",.226982
"B03D","0510",.3872322
"B03D","0710",.0349639
"B03D","0729",.3214297
"B03D","2011",.1022818
"B03D","2012",.0538374
"B03D","3600",.100255
"B04B","2819",1
"B04C","2011",.107265
"B04C","2393",.0599713
"B04C","2394",.024506
"B04C","2395",.0308994
"B04C","2410",.0609709
"B04C","2815",.0404206
"B04C","2819",.0455734
"B04C","3520",.0577645
"B04C","3530",.0553148
"B04C","3600",.4864048
"B04C","3830",.0309092
"B05B","2022",.6218845
"B05B","2811",.057517
"B05B","3600",.3205986
"B05C","2022",.5570525
"B05C","2029",.4429475
"B05D","2011",.0308328
"B05D","2013",.162482
"B05D","2022",.6131623
"B05D","2029",.0402218
"B05D","2592",.1533011
"B06B","2393",.0949563
"B06B","2610",.0221721
"B06B","2660",.8221813
"B06B","2710",.0284872
"B06B","2790",.0322031
"B07B","0163",.0271313
"B07B","0164",.1007218
"B07B","1030",.0594243
"B07B","1061",.1557435
"B07B","2219",.030546
"B07B","2410",.1027197
"B07B","2814",.0476396
"B07B","2816",.1921527
"B07B","2824",.1325051
"B07B","2825",.1189073
"B07B","2829",.0325086
"B07C","1030",.100541
"B07C","2620",.044622
"B07C","2651",.0314838
"B07C","2670",.0609131
"B07C","2816",.7624401
"B08B","2011",.0525201
"B08B","2023",.0245114
"B08B","2813",.0257187
"B08B","2829",.023358
"B08B","3290",.2281759
"B08B","3600",.4513316
"B08B","4930",.0364426
"B08B","8129",.1579417
"B09B","2011",.0425383
"B09B","2012",.0414444
"B09B","2392",.0323572
"B09B","2394",.0810417
"B09B","2395",.0254476
"B09B","2815",.1611755
"B09B","2816",.036534
"B09B","3600",.2441218
"B09B","3700",.0233173
"B09B","3811",.0448076
"B09B","3821",.0612728
"B09B","3830",.0346163
"B09B","4312",.1713256
"B09C","2011",.2588935
"B09C","2012",.0499291
"B09C","2392",.0766773
"B09C","2394",.0250446
"B09C","3600",.5143718
"B09C","4312",.0750837
"B21B","2410",.8611908
"B21B","2431",.0445718
"B21B","2812",.043554
"B21B","2814",.023964
"B21B","2815",.0267194
"B21C","2410",.6298974
"B21C","2420",.0603212
"B21C","2591",.0865708
"B21C","2592",.0404362
"B21C","2599",.087135
"B21C","2812",.0552311
"B21C","2814",.0404084
"B21D","2410",.2827467
"B21D","2591",.1773824
"B21D","2599",.0746377
"B21D","2811",.047835
"B21D","2812",.0801478
"B21D","2814",.0462865
"B21D","2822",.2474976
"B21D","2910",.0434663
"B21F","2410",.7391222
"B21F","2593",.0665769
"B21F","2599",.0728468
"B21F","2812",.0286535
"B21F","2814",.0928005
"B21G","2410",.409027
"B21G","2591",.0894026
"B21G","2593",.0431943
"B21G","2599",.1365972
"B21G","2812",.025477
"B21G","2814",.0686656
"B21G","2822",.1535863
"B21G","2829",.0740501
"B21H","2410",.1005051
"B21H","2591",.0687291
"B21H","2814",.234643
"B21H","2819",.4791884
"B21H","2822",.0647289
"B21H","2826",.0522055
"B21J","2410",.1229707
"B21J","2591",.1046673
"B21J","2811",.1992056
"B21J","2812",.116409
"B21J","2814",.1499878
"B21J","2815",.0448462
"B21J","2822",.2619134
"B21K","2410",.1899283
"B21K","2420",.0275932
"B21K","2591",.3404775
"B21K","2593",.0271931
