ISIC Rev.4	Level of aggregation	Economic Activity
93	3	Sports activities and amusement and recreation activities
S	2	Other service activities
94	3	Activities of membership organizations
95	3	Repair of computers and personal and household goods
96	3	Other personal service activities
T	2	Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use
97	3	Activities of households as employers of domestic personnel
98	3	Undifferentiated goods- and services-producing activities of private households for own use
U	2	Activities of extraterritorial organizations and bodies
99	3	Activities of extraterritorial organizations and bodies
